Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,4,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
TviQ,4,Offense,Florida Mayhem,91,70,41,15,10,0,163,15.46
uNKOE,4,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Taimou,4,Offense,Dallas Fuel,82,76,43,14,17,0,125,11.24
chipshajen,4,Support,Dallas Fuel,3,72,43,0,7,72,161,14.48
HarryHook,4,Support,Dallas Fuel,40,89,36,4,16,0,123,11.06
cocco,4,Tank,Dallas Fuel,50,73,38,4,16,0,141,12.68
Dayfly,4,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Bunny,4,Offense,Seoul Dynasty,34,33,25,5,5,0,60,12.35
zunba,4,Tank,Seoul Dynasty,95,56,2,10,6,0,174,14.9
Gamsu,4,Tank,Boston Uprising,70,55,36,8,10,0,215,21.75
Rascal,4,Offense,London Spitfire,8,10,4,2,2,0,10,7.82
Birdring,4,Offense,London Spitfire,54,21,28,10,2,0,131,26.49
ryujehong,4,Support,Seoul Dynasty,33,36,30,4,6,0,157,23.03
tobi,4,Support,Seoul Dynasty,5,63,41,0,12,75,164,14.05
Miro,4,Tank,Seoul Dynasty,58,69,36,7,18,0,165,14.13
MekO,4,Tank,New York Excelsior,101,45,10,14,5,0,238,22.38
Saebyeolbe,4,Offense,New York Excelsior,41,14,16,6,2,0,92,31.85
janus,4,Tank,New York Excelsior,2,2,2,0,1,0,7,13.08
KuKi,4,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,4,Offense,Seoul Dynasty,16,11,14,3,2,0,37,18.75
Surefour,4,Offense,Los Angeles Gladiators,78,54,36,15,13,0,142,18.24
Custa,4,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
iddqd,4,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,4,Tank,Houston Outlaws,90,72,0,16,4,0,168,13.31
clockwork,4,Offense,Houston Outlaws,90,102,51,22,17,0,139,11.01
GrimReality,4,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,4,Offense,Los Angeles Valiant,79,71,40,11,17,0,115,11.85
ShaDowBurn,4,Offense,Philadelphia Fusion,139,75,40,19,15,0,251,21.73
Rawkus,4,Support,Houston Outlaws,41,72,52,7,8,2,222,17.59
Manneten,4,Tank,Florida Mayhem,88,67,6,17,6,0,189,17.93
SoOn,4,Offense,Los Angeles Valiant,97,73,62,21,18,0,189,16.52
Zebbosai,4,Support,Florida Mayhem,17,68,40,3,11,42,156,14.8
Nevix,4,Tank,San Francisco Shock,94,48,4,16,4,0,212,18.96
Fragi,4,Tank,Philadelphia Fusion,41,92,41,5,17,0,116,10.04
Zuppeh,4,Support,Florida Mayhem,23,74,41,4,14,39,165,15.65
