Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,3,Tank,Dallas Fuel,153,96,48,30,12,0,294,23.12
TviQ,3,Offense,Florida Mayhem,71,82,36,14,12,0,100,11.11
uNKOE,3,Support,Los Angeles Valiant,4,60,47,0,9,83,200,16.17
Taimou,3,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
chipshajen,3,Support,Dallas Fuel,5,65,45,0,7,107,232,18.24
HarryHook,3,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
cocco,3,Tank,Dallas Fuel,39,103,31,6,15,0,77,6.06
Dayfly,3,Support,Philadelphia Fusion,23,34,29,3,3,8,140,22.62
Bunny,3,Offense,Seoul Dynasty,69,29,42,15,4,0,173,26.19
zunba,3,Tank,Seoul Dynasty,46,42,0,9,7,0,79,11.75
Gamsu,3,Tank,Boston Uprising,90,115,48,8,16,0,225,16.21
Rascal,3,Offense,London Spitfire,10,12,2,0,3,0,4,3.51
Birdring,3,Offense,London Spitfire,103,71,29,15,14,0,166,15.04
ryujehong,3,Support,Seoul Dynasty,50,70,50,9,11,16,269,21.66
tobi,3,Support,Seoul Dynasty,12,67,45,2,8,72,205,16.51
Miro,3,Tank,Seoul Dynasty,30,30,19,3,9,0,90,15.79
MekO,3,Tank,New York Excelsior,98,67,9,16,5,0,215,16.55
Saebyeolbe,3,Offense,New York Excelsior,113,62,72,24,13,0,258,19.86
janus,3,Tank,New York Excelsior,34,31,18,3,11,0,92,18.46
KuKi,3,Tank,Seoul Dynasty,24,53,22,0,9,0,52,7.74
munchkin,3,Offense,Seoul Dynasty,25,32,29,3,2,0,49,10.74
Surefour,3,Offense,Los Angeles Gladiators,46,43,25,10,9,0,76,11.67
Custa,3,Support,Dallas Fuel,48,78,41,8,9,0,203,15.96
iddqd,3,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,3,Tank,Houston Outlaws,70,28,0,7,2,0,138,18.49
clockwork,3,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,3,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,3,Offense,Los Angeles Valiant,103,64,41,14,8,0,195,19.31
ShaDowBurn,3,Offense,Philadelphia Fusion,138,75,49,26,12,0,278,22.32
Rawkus,3,Support,Houston Outlaws,43,31,32,6,4,3,215,28.8
Manneten,3,Tank,Florida Mayhem,53,60,1,10,3,0,86,9.56
SoOn,3,Offense,Los Angeles Valiant,133,78,65,31,19,0,277,22.39
Zebbosai,3,Support,Florida Mayhem,8,62,33,2,9,50,127,14.11
Nevix,3,Tank,San Francisco Shock,59,58,6,8,5,0,105,10.63
Fragi,3,Tank,Philadelphia Fusion,39,90,41,6,23,0,112,8.99
Zuppeh,3,Support,Florida Mayhem,27,70,35,3,13,13,122,13.56
LiNkzr,3,Offense,Houston Outlaws,88,36,41,19,12,0,195,26.12
numlocked,3,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,3,Offense,Shanghai Dragons,86,84,68,19,21,0,152,12.79
Joemeister,3,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,3,Support,Philadelphia Fusion,15,63,49,1,11,84,237,19.03
Mickie,3,Tank,Dallas Fuel,124,83,31,12,8,0,298,23.43
Mendokusaii,3,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,3,Tank,San Francisco Shock,37,80,27,5,14,0,81,8.2
dhaK,3,Support,San Francisco Shock,7,64,31,2,14,46,100,10.13
sinatraa,3,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
xQc,3,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,3,Offense,Boston Uprising,144,86,75,20,9,0,299,21.54
Woohyal,3,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,3,Support,Houston Outlaws,3,4,9,0,0,13,52,26.11
JAKE,3,Offense,Houston Outlaws,91,42,35,19,7,0,199,26.66
CWoosH,3,Tank,Florida Mayhem,30,77,32,5,14,0,85,9.44
Logix,3,Offense,Florida Mayhem,85,69,48,11,13,0,145,16.11
Xushu,3,Tank,Shanghai Dragons,37,43,3,8,3,0,69,8.15
Spree,3,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Verbo,3,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Pine,3,Offense,New York Excelsior,11,8,8,3,4,0,20,15.19
babybay,3,Offense,San Francisco Shock,89,77,39,19,15,0,148,14.99
iRemiix,3,Tank,Los Angeles Gladiators,46,86,34,5,24,0,104,9.6
Kariv,3,Support,Los Angeles Valiant,50,62,48,2,13,4,220,17.78
Libero,3,Offense,New York Excelsior,107,72,42,13,13,0,184,15.76
Effect,3,Offense,Dallas Fuel,149,99,63,27,20,0,276,21.7
Mano,3,Tank,New York Excelsior,41,56,22,6,9,0,107,13.37
Nus,3,Support,London Spitfire,0,51,22,0,11,79,112,10.14
Fissure,3,Tank,London Spitfire,17,15,7,1,1,0,43,11.05
Kellex,3,Support,Boston Uprising,6,82,52,0,10,94,214,15.41
super,3,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Avast,3,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,3,Offense,Boston Uprising,147,108,55,31,16,0,271,19.52
Carpe,3,Offense,Philadelphia Fusion,138,62,82,32,13,0,334,26.81
Shaz,3,Support,Los Angeles Gladiators,24,66,44,5,10,19,167,15.41
Fleta,3,Offense,Seoul Dynasty,74,49,28,13,11,0,131,19.49
Hydration,3,Offense,Los Angeles Gladiators,76,78,35,20,14,0,121,13.02
Sleepy,3,Support,San Francisco Shock,33,52,32,7,10,15,174,17.62
Muma,3,Tank,Houston Outlaws,39,32,28,6,9,0,145,19.42
Poko,3,Tank,Philadelphia Fusion,36,29,0,1,3,0,44,7.02
Danteh,3,Offense,San Francisco Shock,75,68,46,6,16,0,108,10.94
Bani,3,Support,Houston Outlaws,0,12,22,0,2,34,101,18.45
Bischu,3,Tank,Los Angeles Gladiators,58,48,0,12,1,0,115,12.33
Space,3,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
silkthread,3,Offense,Los Angeles Valiant,20,10,12,6,0,0,54,23.75
Eqo,3,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
NotE,3,Tank,Boston Uprising,100,89,0,15,3,0,168,13.0
Snow,3,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Closer,3,Support,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,3,Tank,Los Angeles Valiant,92,93,42,15,19,0,258,20.86
Asher,3,Offense,Los Angeles Gladiators,61,53,37,6,8,0,102,13.85
envy,3,Tank,Los Angeles Valiant,102,62,7,12,4,0,207,16.73
Xepher,3,Tank,Seoul Dynasty,37,21,0,10,1,0,92,16.15
uNdeAD,3,Offense,Shanghai Dragons,103,98,54,22,19,0,168,14.13
mg,3,Tank,Shanghai Dragons,31,24,0,4,3,0,51,14.91
Roshan,3,Tank,Shanghai Dragons,57,99,46,8,18,0,167,14.05
Freefeel,3,Support,Shanghai Dragons,30,81,44,4,12,0,133,11.19
FiveKing,3,Support,Shanghai Dragons,0,9,6,0,0,16,33,16.92
Fury,3,Tank,London Spitfire,82,47,4,8,3,0,158,14.31
Boombox,3,Support,Philadelphia Fusion,17,33,24,3,7,3,93,14.84
Gido,3,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
BigG00se,3,Support,Los Angeles Gladiators,15,59,37,3,8,55,176,16.24
Mistakes,3,Offense,Boston Uprising,0,0,0,0,0,0,0,0.0
snillo,3,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,3,Support,New York Excelsior,6,43,53,0,5,83,249,19.17
Wekeed,3,Offense,Seoul Dynasty,72,37,28,14,7,0,149,21.44
HOTBA,3,Tank,Philadelphia Fusion,44,23,5,4,0,0,96,15.51
Gesture,3,Tank,London Spitfire,49,46,17,6,6,0,121,16.93
Profit,3,Offense,London Spitfire,71,33,18,15,3,0,151,25.78
Hooreg,3,Offense,London Spitfire,40,26,10,2,8,0,52,12.86
HagoPeun,3,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Neko,3,Support,Boston Uprising,74,108,51,13,19,0,281,20.24
Kalios,3,Tank,Boston Uprising,9,4,0,2,0,0,22,23.0
Bdosin,3,Support,London Spitfire,74,74,26,17,18,0,258,23.37
JJoNak,3,Support,New York Excelsior,70,76,53,8,10,0,305,23.48
Altering,3,Support,Shanghai Dragons,2,51,39,0,8,71,163,16.4
SADO,3,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
