Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,20,Tank,Dallas Fuel,82,59,18,24,8,0,247,21.14
TviQ,20,Offense,Florida Mayhem,63,80,39,19,17,0,89,8.52
aKm,20,Offense,Dallas Fuel,40,35,28,11,7,0,81,14.02
uNKOE,20,Support,Dallas Fuel,41,61,46,8,12,0,208,17.8
Taimou,20,Offense,Dallas Fuel,57,35,28,19,4,0,137,23.19
chipshajen,20,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,20,Support,Dallas Fuel,10,49,50,0,9,48,186,15.92
cocco,20,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,20,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,20,Offense,Houston Outlaws,11,14,10,2,3,0,16,6.96
Bunny,20,Offense,Los Angeles Valiant,35,18,20,11,5,0,84,20.27
zunba,20,Tank,Seoul Dynasty,48,14,6,6,1,0,123,21.71
Gamsu,20,Tank,Boston Uprising,52,60,38,8,17,0,173,15.63
Rascal,20,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,20,Offense,London Spitfire,103,58,55,29,20,0,221,19.29
ryujehong,20,Support,Seoul Dynasty,21,26,22,9,6,0,127,22.41
tobi,20,Support,Seoul Dynasty,3,19,25,0,3,24,95,16.76
Miro,20,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
MekO,20,Tank,New York Excelsior,73,54,2,16,8,0,154,12.9
Saebyeolbe,20,Offense,New York Excelsior,78,52,41,18,12,0,157,16.68
janus,20,Tank,New York Excelsior,24,29,24,5,7,0,104,19.18
Gambler,20,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
KuKi,20,Tank,Seoul Dynasty,23,20,18,4,5,0,91,16.06
munchkin,20,Offense,Seoul Dynasty,11,2,6,0,0,0,26,19.57
Surefour,20,Offense,Los Angeles Gladiators,46,17,23,13,4,0,116,25.5
Custa,20,Support,Los Angeles Valiant,7,39,37,1,3,43,156,15.35
iddqd,20,Offense,San Francisco Shock,6,0,4,2,0,0,20,38.83
coolmatt,20,Tank,Houston Outlaws,67,46,0,15,3,0,145,13.15
clockwork,20,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,20,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,20,Offense,Los Angeles Valiant,38,42,22,8,8,0,56,9.3
ShaDowBurn,20,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,20,Support,Houston Outlaws,23,47,37,4,9,0,131,11.88
FCTFCTN,20,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,20,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
SoOn,20,Offense,Los Angeles Valiant,42,46,34,9,16,0,58,9.63
Zebbosai,20,Support,Florida Mayhem,5,52,41,1,6,34,129,12.35
Nevix,20,Tank,San Francisco Shock,7,12,0,1,0,0,6,2.03
Fragi,20,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Zuppeh,20,Support,Florida Mayhem,19,59,44,5,6,0,138,13.21
zappis,20,Tank,Florida Mayhem,29,59,9,5,4,0,42,4.02
LiNkzr,20,Offense,Houston Outlaws,109,71,51,30,25,0,208,18.87
numlocked,20,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,20,Offense,Shanghai Dragons,46,61,31,14,11,0,68,8.47
Joemeister,20,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
