Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
neptuNo,20,Support,Philadelphia Fusion,13,46,49,4,3,39,209,18.71
Mickie,20,Tank,Dallas Fuel,51,69,35,9,21,0,153,13.09
Mendokusaii,20,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,20,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
dhaK,20,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,20,Offense,San Francisco Shock,42,29,22,10,11,0,75,16.31
xQc,20,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,20,Offense,Boston Uprising,97,54,54,24,12,0,218,19.7
Woohyal,20,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,20,Support,Houston Outlaws,0,0,0,0,0,0,0,0.0
JAKE,20,Offense,Houston Outlaws,46,34,27,15,8,0,99,16.5
CWoosH,20,Tank,Florida Mayhem,35,74,36,5,12,0,112,10.72
Finnsi,20,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Logix,20,Offense,Florida Mayhem,63,84,50,23,23,0,92,8.81
Xushu,20,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Spree,20,Tank,Houston Outlaws,19,15,12,4,2,0,73,26.76
Verbo,20,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
SNT,20,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Pine,20,Offense,New York Excelsior,23,20,10,8,3,0,46,18.23
babybay,20,Offense,San Francisco Shock,39,36,31,11,9,0,77,13.23
iRemiix,20,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,20,Support,Los Angeles Valiant,43,42,46,5,9,0,227,22.33
Libero,20,Offense,New York Excelsior,90,70,51,22,16,0,173,14.62
sayaplayer,20,Offense,Florida Mayhem,0,0,0,0,0,0,0,0.0
Effect,20,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Mano,20,Tank,New York Excelsior,37,33,25,4,5,0,127,19.5
Nus,20,Support,London Spitfire,10,35,56,1,2,43,228,19.9
Fissure,20,Tank,Los Angeles Gladiators,32,15,20,6,2,0,131,28.8
Kellex,20,Support,Boston Uprising,4,44,39,1,10,43,134,13.18
super,20,Tank,San Francisco Shock,38,46,34,8,9,0,155,17.65
Avast,20,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,20,Offense,Boston Uprising,0,0,0,0,0,0,0,0.0
Carpe,20,Offense,Philadelphia Fusion,86,65,56,23,22,0,165,14.77
Shaz,20,Support,Los Angeles Gladiators,25,13,20,9,3,0,152,33.42
Fleta,20,Offense,Seoul Dynasty,64,30,29,16,8,0,143,25.24
Hydration,20,Offense,Los Angeles Gladiators,37,19,21,9,6,0,82,18.03
Sleepy,20,Support,San Francisco Shock,37,35,37,8,10,0,199,22.67
Muma,20,Tank,Houston Outlaws,57,40,38,8,8,0,212,19.23
Poko,20,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Danteh,20,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
Bani,20,Support,Houston Outlaws,6,49,49,0,12,35,145,13.15
Bischu,20,Tank,Los Angeles Gladiators,11,3,0,1,1,0,22,13.62
Space,20,Tank,Los Angeles Valiant,50,37,1,11,5,0,105,10.33
silkthread,20,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Eqo,20,Offense,Philadelphia Fusion,67,79,44,22,22,0,99,8.86
Moth,20,Support,San Francisco Shock,2,30,36,0,6,27,113,12.87
NotE,20,Tank,Boston Uprising,89,43,0,9,5,0,166,15.0
Snow,20,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
ChoiHyoBin,20,Tank,San Francisco Shock,33,23,6,7,1,0,88,15.12
Closer,20,Support,London Spitfire,0,0,0,0,0,0,0,0.0
TiZi,20,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,20,Tank,Los Angeles Valiant,56,53,38,11,14,0,203,19.97
Architect,20,Offense,San Francisco Shock,58,30,35,6,8,0,117,17.65
Asher,20,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
envy,20,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
KSF,20,Offense,Los Angeles Valiant,35,18,21,5,5,0,73,17.61
Xepher,20,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Sky,20,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
uNdeAD,20,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
mg,20,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Roshan,20,Tank,Shanghai Dragons,1,12,4,0,3,0,-1,-0.84
Freefeel,20,Support,Shanghai Dragons,16,61,40,1,12,0,87,9.47
FiveKing,20,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Fury,20,Tank,London Spitfire,57,32,5,6,1,0,120,10.47
Void,20,Tank,Los Angeles Gladiators,20,8,1,4,0,0,51,17.39
Daemin,20,Offense,Shanghai Dragons,4,14,6,1,5,0,-8,-4.78
Boombox,20,Support,Philadelphia Fusion,28,57,45,2,12,0,146,13.07
Gido,20,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
ANAMO,20,Support,New York Excelsior,2,20,25,1,2,18,89,13.87
BigG00se,20,Support,Los Angeles Gladiators,5,12,16,0,3,13,65,14.29
Mistakes,20,Offense,Boston Uprising,93,56,55,19,11,0,201,18.17
snillo,20,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,20,Support,New York Excelsior,1,15,25,0,4,27,96,17.39
Wekeed,20,Offense,Seoul Dynasty,31,25,17,8,5,0,60,13.83
HOTBA,20,Tank,Philadelphia Fusion,57,38,1,6,5,0,98,8.77
Gesture,20,Tank,London Spitfire,57,53,41,9,18,0,202,17.63
Profit,20,Offense,London Spitfire,85,54,65,20,14,0,193,16.84
Hooreg,20,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
HagoPeun,20,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Neko,20,Support,Boston Uprising,52,54,47,5,12,0,239,21.6
OGe,20,Tank,Dallas Fuel,64,61,47,4,11,0,213,18.23
Aimgod,20,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Kalios,20,Tank,Boston Uprising,0,0,0,0,0,0,0,0.0
Bdosin,20,Support,London Spitfire,48,45,47,9,10,0,256,22.34
Geguri,20,Tank,Shanghai Dragons,29,48,7,6,10,0,45,4.9
Ado,20,Offense,Shanghai Dragons,43,58,35,10,16,0,51,5.88
JJoNak,20,Support,New York Excelsior,57,57,42,5,16,0,228,19.1
Altering,20,Support,Shanghai Dragons,14,51,34,3,9,21,119,12.96
Fearless,20,Tank,Shanghai Dragons,27,60,29,5,12,0,89,11.13
SADO,20,Tank,Philadelphia Fusion,49,63,48,7,14,0,193,17.28
