Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,7,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
TviQ,7,Offense,Florida Mayhem,48,66,38,13,12,0,70,7.26
aKm,7,Offense,Dallas Fuel,73,66,38,23,17,0,130,14.23
uNKOE,7,Support,Los Angeles Valiant,44,52,49,10,11,4,251,23.64
Taimou,7,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
chipshajen,7,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,7,Support,Dallas Fuel,17,70,43,2,8,35,155,14.36
cocco,7,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,7,Support,Philadelphia Fusion,5,9,4,3,1,0,28,25.49
Bunny,7,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
zunba,7,Tank,Seoul Dynasty,77,32,0,11,7,0,159,16.06
Gamsu,7,Tank,Boston Uprising,22,39,15,6,4,0,70,12.68
Rascal,7,Offense,Dallas Fuel,16,12,5,5,1,0,33,19.86
Birdring,7,Offense,London Spitfire,23,11,11,9,2,0,60,20.36
ryujehong,7,Support,Seoul Dynasty,33,50,38,5,12,0,159,16.06
tobi,7,Support,Seoul Dynasty,9,40,37,3,7,8,108,10.91
Miro,7,Tank,Seoul Dynasty,56,45,39,8,11,0,205,20.71
MekO,7,Tank,New York Excelsior,78,44,1,12,4,0,159,15.11
Saebyeolbe,7,Offense,New York Excelsior,99,34,52,20,9,0,238,22.61
janus,7,Tank,New York Excelsior,20,19,12,4,7,0,66,19.74
KuKi,7,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,7,Offense,Seoul Dynasty,76,26,44,13,4,0,188,22.31
Surefour,7,Offense,Los Angeles Gladiators,31,31,30,7,5,0,65,10.12
Custa,7,Support,Dallas Fuel,23,71,39,4,17,0,97,8.99
iddqd,7,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,7,Tank,Houston Outlaws,37,53,0,7,2,0,47,5.15
clockwork,7,Offense,Houston Outlaws,12,8,7,3,1,0,27,16.14
GrimReality,7,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,7,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
ShaDowBurn,7,Offense,Philadelphia Fusion,66,53,30,16,12,0,117,13.06
Rawkus,7,Support,Houston Outlaws,35,66,42,8,16,0,165,14.98
FCTFCTN,7,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,7,Tank,Florida Mayhem,42,68,3,9,6,0,55,5.71
SoOn,7,Offense,Los Angeles Valiant,100,57,67,25,14,0,232,21.85
Zebbosai,7,Support,Florida Mayhem,24,83,27,1,17,2,43,4.46
Nevix,7,Tank,San Francisco Shock,61,57,6,15,6,0,137,12.36
Fragi,7,Tank,Philadelphia Fusion,30,57,23,7,14,0,86,9.6
Zuppeh,7,Support,Florida Mayhem,25,67,42,8,9,0,148,15.36
zappis,7,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,7,Offense,Houston Outlaws,87,73,44,28,15,0,171,15.52
numlocked,7,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,7,Offense,Shanghai Dragons,52,66,46,7,6,0,86,9.03
Joemeister,7,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,7,Support,Philadelphia Fusion,28,41,32,5,5,9,163,18.19
Mickie,7,Tank,Dallas Fuel,54,67,3,6,9,0,65,6.02
Mendokusaii,7,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,7,Tank,San Francisco Shock,55,68,37,8,14,0,171,15.42
dhaK,7,Support,San Francisco Shock,11,59,36,1,8,11,87,7.85
sinatraa,7,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
xQc,7,Tank,Dallas Fuel,36,81,37,3,15,0,99,9.17
Striker,7,Offense,Boston Uprising,100,50,60,15,12,0,216,20.89
Woohyal,7,Tank,London Spitfire,29,14,0,1,0,0,48,9.97
Boink,7,Support,Houston Outlaws,14,61,37,3,8,6,97,8.8
JAKE,7,Offense,Houston Outlaws,55,63,44,12,16,0,83,8.88
CWoosH,7,Tank,Florida Mayhem,39,72,33,8,12,0,125,12.97
Logix,7,Offense,Florida Mayhem,79,49,52,14,6,0,177,18.36
Xushu,7,Tank,Shanghai Dragons,1,5,2,0,3,0,0,0.0
Spree,7,Tank,Houston Outlaws,5,8,6,0,0,0,8,4.22
Verbo,7,Support,Los Angeles Valiant,10,42,34,1,5,20,115,10.83
SNT,7,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Pine,7,Offense,New York Excelsior,0,0,0,0,0,0,0,0.0
babybay,7,Offense,San Francisco Shock,91,61,63,17,11,0,196,17.68
iRemiix,7,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,7,Support,Los Angeles Valiant,103,53,53,20,12,0,222,20.91
Libero,7,Offense,New York Excelsior,97,57,34,14,9,0,181,17.2
sayaplayer,7,Offense,Florida Mayhem,0,0,0,0,0,0,0,0.0
Effect,7,Offense,Dallas Fuel,78,66,66,17,20,0,150,13.9
Mano,7,Tank,New York Excelsior,45,35,20,6,7,0,132,18.38
Nus,7,Support,London Spitfire,6,9,23,3,2,0,86,29.19
Fissure,7,Tank,Los Angeles Gladiators,54,32,31,7,6,0,191,23.41
Kellex,7,Support,Boston Uprising,25,55,32,4,8,11,133,12.86
super,7,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Avast,7,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,7,Offense,Boston Uprising,45,38,26,11,11,0,78,12.57
Carpe,7,Offense,Philadelphia Fusion,49,38,47,8,13,0,97,10.83
Shaz,7,Support,Los Angeles Gladiators,31,36,31,8,6,0,170,20.83
Fleta,7,Offense,Seoul Dynasty,76,60,38,23,16,0,144,14.55
Hydration,7,Offense,Los Angeles Gladiators,42,27,20,13,6,0,91,19.61
Sleepy,7,Support,San Francisco Shock,47,51,45,9,5,0,251,22.64
Muma,7,Tank,Houston Outlaws,50,55,40,7,8,0,185,16.79
Poko,7,Tank,Philadelphia Fusion,40,38,0,3,4,0,50,5.58
Danteh,7,Offense,San Francisco Shock,109,56,65,18,21,0,221,19.93
Bani,7,Support,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bischu,7,Tank,Los Angeles Gladiators,45,32,1,5,5,0,76,9.31
Space,7,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
silkthread,7,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Eqo,7,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
NotE,7,Tank,Boston Uprising,70,57,0,7,4,0,107,10.35
