Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,9,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
TviQ,9,Offense,Florida Mayhem,85,67,48,11,22,0,129,12.12
aKm,9,Offense,Dallas Fuel,27,48,22,3,12,0,10,1.71
uNKOE,9,Support,Los Angeles Valiant,30,79,49,8,20,6,159,12.83
Taimou,9,Offense,Dallas Fuel,40,78,29,14,11,0,37,4.15
chipshajen,9,Support,Dallas Fuel,25,76,39,10,18,0,120,13.46
HarryHook,9,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
cocco,9,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,9,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Bunny,9,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
zunba,9,Tank,Seoul Dynasty,90,67,1,18,2,0,186,15.16
Gamsu,9,Tank,Boston Uprising,86,68,40,20,11,0,293,24.35
Rascal,9,Offense,Dallas Fuel,16,25,12,5,6,0,17,5.53
Birdring,9,Offense,London Spitfire,41,31,22,6,4,0,77,14.46
ryujehong,9,Support,Seoul Dynasty,35,80,48,8,16,0,169,13.78
tobi,9,Support,Seoul Dynasty,17,77,42,2,12,10,100,8.15
Miro,9,Tank,Seoul Dynasty,65,65,40,11,14,0,215,17.53
MekO,9,Tank,New York Excelsior,67,44,0,9,7,0,119,11.1
Saebyeolbe,9,Offense,New York Excelsior,97,37,63,14,6,0,236,22.01
janus,9,Tank,New York Excelsior,9,7,7,3,2,0,42,18.88
KuKi,9,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,9,Offense,Seoul Dynasty,85,69,63,20,10,0,184,15.0
Surefour,9,Offense,Los Angeles Gladiators,59,55,37,15,10,0,110,13.05
Custa,9,Support,Dallas Fuel,6,65,33,0,6,9,54,6.06
iddqd,9,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,9,Tank,Houston Outlaws,70,52,0,11,5,0,127,12.56
clockwork,9,Offense,Houston Outlaws,12,17,15,2,4,0,18,6.13
GrimReality,9,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,9,Offense,Los Angeles Valiant,63,34,25,13,11,0,121,20.25
ShaDowBurn,9,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,9,Support,Houston Outlaws,26,55,46,6,13,0,159,14.92
FCTFCTN,9,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,9,Tank,Florida Mayhem,54,54,7,14,7,0,124,11.65
SoOn,9,Offense,Los Angeles Valiant,116,60,72,29,14,0,274,22.11
Zebbosai,9,Support,Florida Mayhem,12,50,48,1,3,14,150,14.1
Nevix,9,Tank,San Francisco Shock,43,42,1,6,5,0,66,7.13
Fragi,9,Tank,Philadelphia Fusion,63,42,35,7,11,0,206,23.91
Zuppeh,9,Support,Florida Mayhem,30,59,40,9,13,0,161,15.13
zappis,9,Tank,Florida Mayhem,6,14,0,1,2,0,-4,-2.04
LiNkzr,9,Offense,Houston Outlaws,94,81,46,28,21,0,167,15.67
numlocked,9,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,9,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Joemeister,9,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,9,Support,Philadelphia Fusion,22,40,39,4,7,14,166,19.27
Mickie,9,Tank,Dallas Fuel,49,64,2,11,1,0,83,9.31
Mendokusaii,9,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,9,Tank,San Francisco Shock,45,48,31,6,9,0,150,16.2
dhaK,9,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,9,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
xQc,9,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,9,Offense,Boston Uprising,128,53,79,26,10,0,314,26.09
Woohyal,9,Tank,London Spitfire,70,36,1,9,6,0,137,13.99
Boink,9,Support,Houston Outlaws,14,40,24,2,7,13,88,12.86
JAKE,9,Offense,Houston Outlaws,59,52,41,11,10,0,109,14.11
CWoosH,9,Tank,Florida Mayhem,39,60,41,6,13,0,152,14.29
Logix,9,Offense,Florida Mayhem,94,42,46,26,8,0,228,26.27
Xushu,9,Tank,Shanghai Dragons,23,47,5,4,5,0,25,3.19
Spree,9,Tank,Houston Outlaws,2,4,1,0,1,0,-1,-1.82
Verbo,9,Support,Los Angeles Valiant,9,58,34,0,3,10,81,7.41
SNT,9,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Pine,9,Offense,New York Excelsior,0,0,0,0,0,0,0,0.0
babybay,9,Offense,San Francisco Shock,85,72,53,21,19,0,155,16.74
iRemiix,9,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,9,Support,Los Angeles Valiant,40,33,30,14,10,1,85,10.8
Libero,9,Offense,New York Excelsior,87,58,37,17,15,0,157,14.64
sayaplayer,9,Offense,Florida Mayhem,0,0,0,0,0,0,0,0.0
Effect,9,Offense,Dallas Fuel,55,56,51,6,11,0,95,10.65
Mano,9,Tank,New York Excelsior,62,46,25,7,13,0,168,19.77
Nus,9,Support,London Spitfire,13,46,65,1,7,19,207,21.13
Fissure,9,Tank,Los Angeles Gladiators,76,65,44,10,21,0,238,20.2
Kellex,9,Support,Boston Uprising,16,63,50,2,15,26,153,12.71
super,9,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Avast,9,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,9,Offense,Boston Uprising,97,53,45,15,9,0,198,18.9
Carpe,9,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Shaz,9,Support,Los Angeles Gladiators,39,61,53,6,15,0,209,17.74
Fleta,9,Offense,Seoul Dynasty,65,72,46,14,13,0,106,8.64
Hydration,9,Offense,Los Angeles Gladiators,53,38,23,19,5,0,119,22.67
Sleepy,9,Support,San Francisco Shock,34,44,31,5,12,0,147,15.87
Muma,9,Tank,Houston Outlaws,58,46,45,9,7,0,234,21.95
Poko,9,Tank,Philadelphia Fusion,60,21,4,9,1,0,146,16.95
Danteh,9,Offense,San Francisco Shock,76,41,57,20,10,0,188,20.3
Bani,9,Support,Houston Outlaws,1,17,18,0,1,17,64,16.77
Bischu,9,Tank,Los Angeles Gladiators,56,61,3,9,12,0,84,7.13
Space,9,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
silkthread,9,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Eqo,9,Offense,Philadelphia Fusion,103,33,41,21,9,0,238,27.63
NotE,9,Tank,Boston Uprising,56,42,0,2,4,0,74,7.81
Snow,9,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Closer,9,Support,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,9,Tank,Los Angeles Valiant,68,80,42,9,17,0,201,16.22
Asher,9,Offense,Los Angeles Gladiators,80,67,48,13,9,0,149,15.08
envy,9,Tank,Los Angeles Valiant,75,57,3,8,7,0,127,10.25
