Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,14,Tank,Dallas Fuel,52,39,27,16,8,0,202,34.73
TviQ,14,Offense,Florida Mayhem,100,78,59,19,21,0,177,15.17
aKm,14,Offense,Dallas Fuel,20,32,21,1,8,0,15,3.6
uNKOE,14,Support,Dallas Fuel,33,61,43,9,14,1,177,17.74
Taimou,14,Offense,Dallas Fuel,56,69,39,15,16,0,204,20.44
chipshajen,14,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,14,Support,Dallas Fuel,3,48,36,0,9,47,122,12.23
cocco,14,Tank,Dallas Fuel,22,39,17,6,6,0,74,12.72
Dayfly,14,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,14,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,14,Offense,Los Angeles Valiant,33,23,22,8,5,0,71,15.19
zunba,14,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Gamsu,14,Tank,Boston Uprising,39,55,33,5,11,0,131,13.46
Rascal,14,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,14,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
ryujehong,14,Support,Seoul Dynasty,27,68,36,6,16,2,116,11.51
tobi,14,Support,Seoul Dynasty,5,63,39,0,9,35,104,10.32
Miro,14,Tank,Seoul Dynasty,35,60,32,4,14,0,108,10.71
MekO,14,Tank,New York Excelsior,66,38,0,11,3,0,135,12.95
Saebyeolbe,14,Offense,New York Excelsior,74,32,49,14,5,0,183,20.15
janus,14,Tank,New York Excelsior,19,12,17,4,3,0,90,21.43
Gambler,14,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
KuKi,14,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,14,Offense,Seoul Dynasty,68,53,55,12,8,0,146,14.48
Surefour,14,Offense,Los Angeles Gladiators,82,62,49,19,17,0,155,13.85
Custa,14,Support,Los Angeles Valiant,8,37,40,1,2,32,156,15.56
iddqd,14,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,14,Tank,Houston Outlaws,74,42,2,4,1,0,127,11.73
clockwork,14,Offense,Houston Outlaws,7,6,6,3,2,0,16,13.69
GrimReality,14,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,14,Offense,Los Angeles Valiant,67,58,36,16,9,0,126,15.68
ShaDowBurn,14,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,14,Support,Houston Outlaws,44,59,40,9,13,2,206,19.03
FCTFCTN,14,Tank,Houston Outlaws,4,12,4,1,3,0,9,6.61
Manneten,14,Tank,Florida Mayhem,63,53,10,13,9,0,146,12.52
SoOn,14,Offense,Los Angeles Valiant,47,56,34,10,20,0,52,7.64
Zebbosai,14,Support,Florida Mayhem,14,49,38,3,3,30,158,13.54
Nevix,14,Tank,San Francisco Shock,48,50,1,11,6,0,87,8.66
Fragi,14,Tank,Philadelphia Fusion,62,78,41,8,26,0,175,14.71
Zuppeh,14,Support,Florida Mayhem,34,48,51,4,4,6,225,19.29
zappis,14,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,14,Offense,Houston Outlaws,103,63,55,30,12,0,234,21.61
numlocked,14,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,14,Offense,Shanghai Dragons,84,84,55,17,18,0,137,11.37
Joemeister,14,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,14,Support,Philadelphia Fusion,8,58,46,1,8,50,168,14.13
Mickie,14,Tank,Dallas Fuel,58,50,5,10,5,0,116,11.63
Mendokusaii,14,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,14,Tank,San Francisco Shock,4,11,4,1,1,0,12,8.92
dhaK,14,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,14,Offense,San Francisco Shock,16,18,18,3,4,0,30,8.85
xQc,14,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,14,Offense,Boston Uprising,116,35,55,17,10,0,266,27.33
Woohyal,14,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,14,Support,Houston Outlaws,3,7,5,0,1,2,18,15.41
JAKE,14,Offense,Houston Outlaws,83,64,48,21,15,0,162,16.77
CWoosH,14,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Finnsi,14,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Logix,14,Offense,Florida Mayhem,24,16,17,8,4,0,57,23.65
Xushu,14,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Spree,14,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Verbo,14,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
SNT,14,Tank,Florida Mayhem,46,74,38,6,19,0,137,11.74
Pine,14,Offense,New York Excelsior,36,25,18,7,5,0,69,15.24
babybay,14,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
iRemiix,14,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,14,Support,Los Angeles Valiant,35,44,38,8,11,1,187,18.66
Libero,14,Offense,New York Excelsior,59,38,32,18,10,0,128,17.66
sayaplayer,14,Offense,Florida Mayhem,87,52,45,21,10,0,189,20.42
Effect,14,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Mano,14,Tank,New York Excelsior,40,29,22,5,3,0,134,21.51
Nus,14,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Fissure,14,Tank,Los Angeles Gladiators,68,70,51,11,15,0,248,17.72
Kellex,14,Support,Boston Uprising,0,45,36,0,9,40,106,10.89
super,14,Tank,San Francisco Shock,30,72,33,7,19,0,96,9.55
Avast,14,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,14,Offense,Boston Uprising,0,0,0,0,0,0,0,0.0
Carpe,14,Offense,Philadelphia Fusion,116,42,66,26,10,0,288,24.22
Shaz,14,Support,Los Angeles Gladiators,45,76,66,9,18,0,257,18.36
Fleta,14,Offense,Seoul Dynasty,70,53,38,18,14,0,133,15.04
Hydration,14,Offense,Los Angeles Gladiators,26,19,18,7,2,0,61,14.98
Sleepy,14,Support,San Francisco Shock,26,43,29,5,8,2,129,14.82
Muma,14,Tank,Houston Outlaws,40,43,33,5,6,0,150,15.85
Poko,14,Tank,Philadelphia Fusion,66,41,3,11,4,0,140,11.77
Danteh,14,Offense,San Francisco Shock,51,40,34,10,8,0,100,15.02
Bani,14,Support,Houston Outlaws,2,51,40,0,7,37,117,12.11
Bischu,14,Tank,Los Angeles Gladiators,83,66,0,16,8,0,156,11.15
Space,14,Tank,Los Angeles Valiant,70,46,1,10,5,0,132,13.17
silkthread,14,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Eqo,14,Offense,Philadelphia Fusion,101,55,43,20,16,0,198,19.72
Moth,14,Support,San Francisco Shock,1,54,38,0,5,40,114,11.34
NotE,14,Tank,Boston Uprising,77,42,2,9,1,0,153,15.72
Snow,14,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Closer,14,Support,London Spitfire,1,40,46,0,12,35,130,11.17
TiZi,14,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,14,Tank,Los Angeles Valiant,51,76,31,5,15,0,124,12.37
Architect,14,Offense,San Francisco Shock,63,58,43,11,23,0,87,8.66
Asher,14,Offense,Los Angeles Gladiators,103,77,63,21,12,0,210,16.5
envy,14,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
KSF,14,Offense,Los Angeles Valiant,1,6,1,0,1,0,-5,-9.38
Xepher,14,Tank,Seoul Dynasty,42,49,0,8,6,0,61,6.05
Sky,14,Support,Shanghai Dragons,17,42,21,4,10,0,68,11.82
uNdeAD,14,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
mg,14,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Roshan,14,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Freefeel,14,Support,Shanghai Dragons,21,45,26,4,14,0,84,13.34
FiveKing,14,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Fury,14,Tank,London Spitfire,60,37,0,5,3,0,100,8.59
Void,14,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Daemin,14,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Boombox,14,Support,Philadelphia Fusion,45,70,55,6,14,2,229,19.25
Gido,14,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
ANAMO,14,Support,New York Excelsior,1,13,12,0,1,9,38,12.64
BigG00se,14,Support,Los Angeles Gladiators,20,64,53,2,7,54,230,16.43
Mistakes,14,Offense,Boston Uprising,88,53,47,22,11,0,192,19.73
snillo,14,Offense,Philadelphia Fusion,12,11,9,1,5,0,14,7.55
ArK,14,Support,New York Excelsior,3,17,30,0,2,19,107,14.42
Wekeed,14,Offense,Seoul Dynasty,9,12,5,2,2,0,11,8.89
HOTBA,14,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Gesture,14,Tank,London Spitfire,73,55,45,12,17,0,257,22.09
Profit,14,Offense,London Spitfire,95,50,62,20,6,0,230,19.77
Hooreg,14,Offense,London Spitfire,101,64,57,22,15,0,209,17.96
HagoPeun,14,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Neko,14,Support,Boston Uprising,49,53,36,15,9,0,244,25.07
OGe,14,Tank,Dallas Fuel,16,28,14,1,7,0,43,10.33
Aimgod,14,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Kalios,14,Tank,Boston Uprising,0,0,0,0,0,0,0,0.0
Bdosin,14,Support,London Spitfire,48,62,44,12,17,0,228,19.59
Geguri,14,Tank,Shanghai Dragons,76,59,1,7,3,0,121,10.04
Ado,14,Offense,Shanghai Dragons,116,62,65,31,5,0,287,23.82
JJoNak,14,Support,New York Excelsior,55,47,46,15,13,0,290,27.81
Altering,14,Support,Shanghai Dragons,4,70,51,1,12,51,152,12.61
Fearless,14,Tank,Shanghai Dragons,63,89,48,13,15,0,218,18.09
SADO,14,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
