Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,2,Tank,Dallas Fuel,37,30,17,4,4,0,65,18.92
TviQ,2,Offense,Florida Mayhem,83,64,51,25,11,0,206,21.33
uNKOE,2,Support,Los Angeles Valiant,34,90,40,5,18,0,-3,-0.25
Taimou,2,Offense,Dallas Fuel,51,49,24,8,6,0,89,13.58
chipshajen,2,Support,Dallas Fuel,14,63,29,3,10,0,-17,-1.91
HarryHook,2,Support,Dallas Fuel,19,40,20,6,10,0,16,3.0
cocco,2,Tank,Dallas Fuel,21,78,33,2,14,0,-25,-2.81
Dayfly,2,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Bunny,2,Offense,Seoul Dynasty,13,7,6,1,2,0,24,18.53
zunba,2,Tank,Seoul Dynasty,46,17,0,12,0,0,111,21.64
Gamsu,2,Tank,Boston Uprising,57,80,47,5,13,0,70,6.2
Rascal,2,Offense,London Spitfire,34,23,12,6,2,0,71,18.73
Birdring,2,Offense,London Spitfire,126,66,36,30,12,0,288,24.8
ryujehong,2,Support,Seoul Dynasty,44,36,36,8,4,0,104,10.01
tobi,2,Support,Seoul Dynasty,6,29,33,0,6,0,4,0.44
Miro,2,Tank,Seoul Dynasty,31,23,16,3,7,0,50,9.75
MekO,2,Tank,New York Excelsior,86,34,11,18,7,0,189,19.36
Saebyeolbe,2,Offense,New York Excelsior,44,41,30,11,5,0,100,14.86
janus,2,Tank,New York Excelsior,30,23,17,6,2,0,68,14.13
KuKi,2,Tank,Seoul Dynasty,34,30,20,1,8,0,45,8.55
munchkin,2,Offense,Seoul Dynasty,48,23,32,6,7,0,109,20.71
Surefour,2,Offense,Los Angeles Gladiators,62,51,31,15,9,0,131,16.58
Custa,2,Support,Dallas Fuel,1,22,11,0,4,0,-17,-4.77
iddqd,2,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,2,Tank,Houston Outlaws,71,26,0,6,2,0,130,17.21
clockwork,2,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,2,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,2,Offense,Los Angeles Valiant,50,36,16,11,5,0,103,20.15
ShaDowBurn,2,Offense,Philadelphia Fusion,124,77,43,22,15,0,250,20.42
Rawkus,2,Support,Houston Outlaws,39,33,29,4,6,0,74,9.8
Manneten,2,Tank,Florida Mayhem,69,42,2,16,4,0,138,14.29
SoOn,2,Offense,Los Angeles Valiant,82,97,56,12,19,0,121,10.03
Zebbosai,2,Support,Florida Mayhem,11,42,41,4,3,0,27,2.8
Nevix,2,Tank,San Francisco Shock,66,61,4,9,2,0,98,8.45
Fragi,2,Tank,Philadelphia Fusion,49,87,41,7,13,0,47,3.84
Zuppeh,2,Support,Florida Mayhem,28,58,40,3,10,0,27,2.8
LiNkzr,2,Offense,Houston Outlaws,107,40,39,21,8,0,260,34.42
numlocked,2,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,2,Offense,Shanghai Dragons,51,71,33,9,11,0,69,8.23
Joemeister,2,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,2,Support,Philadelphia Fusion,13,60,48,1,11,0,-5,-0.41
Mickie,2,Tank,Dallas Fuel,53,51,4,8,2,0,79,10.1
Mendokusaii,2,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,2,Tank,San Francisco Shock,53,87,38,12,11,0,71,6.12
dhaK,2,Support,San Francisco Shock,7,81,46,1,13,0,-44,-3.79
sinatraa,2,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
xQc,2,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,2,Offense,Boston Uprising,77,51,60,13,7,0,188,16.65
Woohyal,2,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,2,Support,Houston Outlaws,0,7,6,0,0,0,-1,-0.61
JAKE,2,Offense,Houston Outlaws,96,49,43,20,11,0,224,29.66
CWoosH,2,Tank,Florida Mayhem,38,55,35,4,7,0,54,5.59
Logix,2,Offense,Florida Mayhem,100,52,52,20,11,0,238,24.64
Xushu,2,Tank,Shanghai Dragons,9,28,11,1,7,0,-10,-3.29
Spree,2,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Verbo,2,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Pine,2,Offense,New York Excelsior,36,18,14,7,5,0,79,26.06
babybay,2,Offense,San Francisco Shock,135,86,57,31,16,0,302,26.05
iRemiix,2,Tank,Los Angeles Gladiators,56,71,38,5,13,0,68,6.3
Kariv,2,Support,Los Angeles Valiant,13,68,33,2,8,0,-19,-1.58
Libero,2,Offense,New York Excelsior,81,60,33,16,13,0,157,16.08
Effect,2,Offense,Dallas Fuel,66,71,60,12,14,0,129,14.49
Mano,2,Tank,New York Excelsior,31,17,17,2,2,0,64,12.93
Nus,2,Support,London Spitfire,0,54,36,0,11,0,-40,-3.44
Fissure,2,Tank,London Spitfire,27,32,9,3,6,0,28,7.17
Kellex,2,Support,Boston Uprising,1,66,42,0,9,0,-40,-3.54
super,2,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Avast,2,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,2,Offense,Boston Uprising,102,81,42,20,17,0,191,16.92
Carpe,2,Offense,Philadelphia Fusion,141,73,68,30,14,0,339,27.68
Shaz,2,Support,Los Angeles Gladiators,17,57,42,1,11,0,0,0.0
Fleta,2,Offense,Seoul Dynasty,102,56,44,24,18,0,228,21.94
Hydration,2,Offense,Los Angeles Gladiators,83,60,36,15,7,0,173,21.02
Sleepy,2,Support,San Francisco Shock,29,67,40,4,9,0,25,2.16
Muma,2,Tank,Houston Outlaws,44,23,26,9,2,0,114,15.09
Poko,2,Tank,Philadelphia Fusion,90,51,0,10,6,0,147,12.0
Danteh,2,Offense,San Francisco Shock,89,85,67,20,16,0,188,16.21
Bani,2,Support,Houston Outlaws,0,15,22,0,2,0,3,0.51
Bischu,2,Tank,Los Angeles Gladiators,48,50,0,5,9,0,43,4.4
Space,2,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
silkthread,2,Offense,Los Angeles Valiant,43,52,22,6,8,0,58,8.35
Eqo,2,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
NotE,2,Tank,Boston Uprising,0,0,0,0,0,0,0,0.0
Snow,2,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Closer,2,Support,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,2,Tank,Los Angeles Valiant,75,86,39,13,18,0,106,8.79
Asher,2,Offense,Los Angeles Gladiators,54,44,31,12,11,0,109,16.86
envy,2,Tank,Los Angeles Valiant,95,66,5,16,6,0,165,13.68
Xepher,2,Tank,Seoul Dynasty,31,25,0,3,3,0,40,7.6
uNdeAD,2,Offense,Shanghai Dragons,54,82,33,11,18,0,56,6.68
mg,2,Tank,Shanghai Dragons,49,59,2,4,6,0,41,4.89
Roshan,2,Tank,Shanghai Dragons,9,51,13,0,13,0,-46,-8.6
Freefeel,2,Support,Shanghai Dragons,13,54,31,2,9,0,-9,-1.07
FiveKing,2,Support,Shanghai Dragons,0,3,6,0,0,0,3,2.21
