Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Custa,18,Support,Los Angeles Valiant,5,39,49,1,3,56,205,16.51
iddqd,18,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,18,Tank,Houston Outlaws,58,32,0,6,5,0,103,11.6
clockwork,18,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,18,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,18,Offense,Los Angeles Valiant,90,73,56,16,21,0,153,12.32
ShaDowBurn,18,Offense,Philadelphia Fusion,55,70,38,9,21,0,54,5.26
Rawkus,18,Support,Houston Outlaws,52,47,49,5,9,0,258,21.95
FCTFCTN,18,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,18,Tank,Florida Mayhem,49,66,5,9,8,0,75,6.12
SoOn,18,Offense,Los Angeles Valiant,80,85,59,29,25,0,142,11.43
Zebbosai,18,Support,Florida Mayhem,5,72,46,1,9,38,125,10.2
Nevix,18,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Fragi,18,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Zuppeh,18,Support,Florida Mayhem,39,61,58,8,6,0,250,20.41
zappis,18,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,18,Offense,Houston Outlaws,108,89,64,28,28,0,191,16.25
numlocked,18,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,18,Offense,Shanghai Dragons,93,83,63,36,25,0,188,16.24
Joemeister,18,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,18,Support,Philadelphia Fusion,1,41,43,0,9,46,142,13.84
Mickie,18,Tank,Dallas Fuel,45,51,28,13,11,0,164,22.47
Mendokusaii,18,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,18,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
dhaK,18,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,18,Offense,San Francisco Shock,55,55,38,7,12,0,83,11.31
xQc,18,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,18,Offense,Boston Uprising,87,74,62,19,18,0,164,13.37
Woohyal,18,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,18,Support,Houston Outlaws,0,0,0,0,0,0,0,0.0
JAKE,18,Offense,Houston Outlaws,47,25,21,14,8,0,102,22.51
CWoosH,18,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Finnsi,18,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Logix,18,Offense,Florida Mayhem,91,88,53,16,29,0,121,9.88
Xushu,18,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Spree,18,Tank,Houston Outlaws,19,11,7,4,2,0,38,13.21
Verbo,18,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
SNT,18,Tank,Florida Mayhem,35,89,40,1,20,0,85,6.94
Pine,18,Offense,New York Excelsior,54,38,26,21,14,0,110,18.34
babybay,18,Offense,San Francisco Shock,47,34,24,12,11,0,86,18.39
iRemiix,18,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,18,Support,Los Angeles Valiant,33,51,42,4,9,0,172,13.85
Libero,18,Offense,New York Excelsior,73,38,32,16,12,0,148,16.62
sayaplayer,18,Offense,Florida Mayhem,0,0,0,0,0,0,0,0.0
Effect,18,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Mano,18,Tank,New York Excelsior,25,24,22,5,7,0,105,16.35
Nus,18,Support,London Spitfire,5,40,43,1,7,32,143,13.65
Fissure,18,Tank,Los Angeles Gladiators,53,60,42,8,12,0,192,16.65
Kellex,18,Support,Boston Uprising,4,53,50,1,3,65,205,16.71
super,18,Tank,San Francisco Shock,57,53,31,4,9,0,161,17.72
Avast,18,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,18,Offense,Boston Uprising,0,0,0,0,0,0,0,0.0
Carpe,18,Offense,Philadelphia Fusion,88,62,51,24,17,0,179,17.44
Shaz,18,Support,Los Angeles Gladiators,30,49,51,7,14,0,194,16.83
Fleta,18,Offense,Seoul Dynasty,103,38,60,30,8,0,272,25.13
Hydration,18,Offense,Los Angeles Gladiators,68,82,47,15,26,0,79,6.85
Sleepy,18,Support,San Francisco Shock,38,39,42,11,11,0,223,24.54
Muma,18,Tank,Houston Outlaws,60,36,46,5,3,0,239,20.33
Poko,18,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Danteh,18,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
Bani,18,Support,Houston Outlaws,2,41,52,0,5,42,174,14.8
Bischu,18,Tank,Los Angeles Gladiators,34,20,0,10,4,0,84,15.29
Space,18,Tank,Los Angeles Valiant,74,39,16,15,8,0,209,16.83
silkthread,18,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Eqo,18,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Moth,18,Support,San Francisco Shock,7,39,41,1,3,37,159,17.49
NotE,18,Tank,Boston Uprising,68,48,1,9,7,0,120,9.78
Snow,18,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
ChoiHyoBin,18,Tank,San Francisco Shock,45,39,4,5,3,0,80,8.8
Closer,18,Support,London Spitfire,0,0,0,0,0,0,0,0.0
TiZi,18,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,18,Tank,Los Angeles Valiant,48,54,42,12,11,0,205,16.51
Architect,18,Offense,San Francisco Shock,56,35,31,17,8,0,126,20.45
Asher,18,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
envy,18,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
KSF,18,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Xepher,18,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Sky,18,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
uNdeAD,18,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
mg,18,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Roshan,18,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Freefeel,18,Support,Shanghai Dragons,29,66,47,2,12,0,146,12.61
FiveKing,18,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Fury,18,Tank,London Spitfire,52,32,3,6,3,0,102,9.74
Void,18,Tank,Los Angeles Gladiators,28,29,9,5,2,0,72,11.93
Daemin,18,Offense,Shanghai Dragons,18,13,12,5,6,0,33,11.17
Boombox,18,Support,Philadelphia Fusion,19,52,38,3,11,0,109,10.62
Gido,18,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
ANAMO,18,Support,New York Excelsior,1,22,43,0,5,27,141,12.64
BigG00se,18,Support,Los Angeles Gladiators,8,41,48,1,2,49,201,17.43
Mistakes,18,Offense,Boston Uprising,96,78,67,22,20,0,185,15.08
snillo,18,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,18,Support,New York Excelsior,0,0,0,0,0,0,0,0.0
Wekeed,18,Offense,Seoul Dynasty,117,61,54,26,15,0,249,20.62
HOTBA,18,Tank,Philadelphia Fusion,44,40,9,10,8,0,107,10.43
Gesture,18,Tank,London Spitfire,47,54,40,8,13,0,179,17.09
Profit,18,Offense,London Spitfire,78,51,53,14,10,0,166,15.84
Hooreg,18,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
HagoPeun,18,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Neko,18,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
OGe,18,Tank,Dallas Fuel,50,45,35,9,6,0,190,26.03
Aimgod,18,Support,Boston Uprising,36,57,52,7,14,0,207,16.88
Kalios,18,Tank,Boston Uprising,0,0,0,0,0,0,0,0.0
Bdosin,18,Support,London Spitfire,43,52,42,9,12,0,215,20.52
Geguri,18,Tank,Shanghai Dragons,44,41,2,4,5,0,64,5.53
Ado,18,Offense,Shanghai Dragons,54,56,36,9,12,0,82,9.51
JJoNak,18,Support,New York Excelsior,41,39,40,7,6,0,220,19.73
Altering,18,Support,Shanghai Dragons,8,48,50,1,9,44,179,15.46
Fearless,18,Tank,Shanghai Dragons,43,68,44,10,10,0,180,15.55
SADO,18,Tank,Philadelphia Fusion,41,66,37,12,11,0,164,15.98
