Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,18,Tank,Dallas Fuel,57,36,12,8,2,0,144,19.73
TviQ,18,Offense,Florida Mayhem,71,97,50,22,23,0,93,7.59
aKm,18,Offense,Dallas Fuel,4,8,3,0,2,0,-1,-1.38
uNKOE,18,Support,Dallas Fuel,18,37,29,3,7,0,102,13.97
Taimou,18,Offense,Dallas Fuel,56,40,35,14,8,0,225,34.23
chipshajen,18,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,18,Support,Dallas Fuel,6,33,31,0,5,30,113,15.48
cocco,18,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,18,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,18,Offense,Houston Outlaws,63,45,34,16,12,0,123,17.03
Bunny,18,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
zunba,18,Tank,Seoul Dynasty,59,34,7,11,2,0,147,12.18
Gamsu,18,Tank,Boston Uprising,54,74,42,10,19,0,181,14.76
Rascal,18,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,18,Offense,London Spitfire,95,61,50,26,13,0,205,19.57
ryujehong,18,Support,Seoul Dynasty,54,45,48,9,10,0,277,22.94
tobi,18,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Miro,18,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
MekO,18,Tank,New York Excelsior,60,34,3,10,6,0,129,11.57
Saebyeolbe,18,Offense,New York Excelsior,67,27,37,19,3,0,176,23.78
janus,18,Tank,New York Excelsior,20,15,17,2,6,0,78,16.49
Gambler,18,Support,Seoul Dynasty,6,29,50,1,7,46,199,16.48
KuKi,18,Tank,Seoul Dynasty,55,57,38,12,10,0,205,16.98
munchkin,18,Offense,Seoul Dynasty,12,5,7,2,2,0,26,20.77
Surefour,18,Offense,Los Angeles Gladiators,102,65,61,27,17,0,220,19.08
