Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,6,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
TviQ,6,Offense,Florida Mayhem,69,87,44,17,15,0,99,9.17
aKm,6,Offense,Dallas Fuel,79,47,29,12,14,0,136,18.5
uNKOE,6,Support,Los Angeles Valiant,22,56,48,3,18,0,130,12.79
Taimou,6,Offense,Dallas Fuel,31,23,19,6,3,0,64,13.27
chipshajen,6,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,6,Support,Dallas Fuel,21,49,40,6,5,25,186,17.93
cocco,6,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,6,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Bunny,6,Offense,Seoul Dynasty,40,17,25,9,2,0,102,21.26
zunba,6,Tank,Seoul Dynasty,74,41,0,13,6,0,153,14.74
Gamsu,6,Tank,Boston Uprising,51,80,38,8,21,0,147,13.84
Rascal,6,Offense,London Spitfire,35,30,19,10,5,0,69,14.91
Birdring,6,Offense,London Spitfire,90,70,62,21,19,0,176,14.5
ryujehong,6,Support,Seoul Dynasty,30,65,41,5,14,0,140,13.49
tobi,6,Support,Seoul Dynasty,24,36,43,6,5,3,184,17.73
Miro,6,Tank,Seoul Dynasty,58,29,44,11,8,0,255,24.57
MekO,6,Tank,New York Excelsior,78,64,0,15,8,0,144,11.78
Saebyeolbe,6,Offense,New York Excelsior,106,40,70,17,7,0,262,21.43
janus,6,Tank,New York Excelsior,58,70,42,10,18,0,194,15.86
KuKi,6,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,6,Offense,Seoul Dynasty,48,23,36,9,5,0,117,20.97
Surefour,6,Offense,Los Angeles Gladiators,61,44,42,21,9,0,144,16.84
Custa,6,Support,Dallas Fuel,48,53,49,6,9,2,247,23.81
iddqd,6,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,6,Tank,Houston Outlaws,53,45,0,10,4,0,97,11.81
clockwork,6,Offense,Houston Outlaws,22,14,16,5,1,0,54,17.01
GrimReality,6,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,6,Offense,Los Angeles Valiant,49,33,35,10,7,0,106,15.46
ShaDowBurn,6,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,6,Support,Houston Outlaws,17,59,40,3,14,1,98,10.15
FCTFCTN,6,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,6,Tank,Florida Mayhem,60,73,8,14,7,0,120,11.11
SoOn,6,Offense,Los Angeles Valiant,81,52,63,15,9,0,185,18.2
Zebbosai,6,Support,Florida Mayhem,22,78,40,2,17,1,84,7.78
Nevix,6,Tank,San Francisco Shock,38,56,2,5,5,0,41,3.63
Fragi,6,Tank,Philadelphia Fusion,61,60,41,11,12,0,217,21.71
Zuppeh,6,Support,Florida Mayhem,27,70,48,3,11,0,145,13.43
zappis,6,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,6,Offense,Houston Outlaws,89,65,47,20,13,0,174,15.36
numlocked,6,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,6,Offense,Shanghai Dragons,74,64,58,13,12,0,144,14.13
Joemeister,6,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,6,Support,Philadelphia Fusion,28,45,41,3,8,17,184,18.41
Mickie,6,Tank,Dallas Fuel,83,42,4,14,5,0,187,18.02
Mendokusaii,6,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,6,Tank,San Francisco Shock,43,83,42,10,17,0,152,13.46
dhaK,6,Support,San Francisco Shock,10,59,45,2,8,1,100,8.86
sinatraa,6,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
xQc,6,Tank,Dallas Fuel,32,31,24,8,2,0,135,24.32
Striker,6,Offense,Boston Uprising,58,52,46,13,8,0,120,13.59
Woohyal,6,Tank,London Spitfire,33,17,0,5,2,0,67,13.48
Boink,6,Support,Houston Outlaws,22,50,26,3,4,6,107,11.67
JAKE,6,Offense,Houston Outlaws,68,41,34,21,7,0,157,19.25
CWoosH,6,Tank,Florida Mayhem,41,79,39,6,11,0,133,12.32
Logix,6,Offense,Florida Mayhem,66,81,62,8,17,0,95,8.8
Xushu,6,Tank,Shanghai Dragons,31,35,9,2,8,0,54,11.2
Spree,6,Tank,Houston Outlaws,18,14,9,3,3,0,31,9.94
Verbo,6,Support,Los Angeles Valiant,15,38,35,1,9,1,100,9.84
SNT,6,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Pine,6,Offense,New York Excelsior,53,47,28,15,5,0,107,15.9
babybay,6,Offense,San Francisco Shock,74,75,55,15,25,0,108,9.57
iRemiix,6,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
