Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,5,Tank,Dallas Fuel,114,71,56,23,16,0,227,20.83
TviQ,5,Offense,Florida Mayhem,99,86,39,19,16,0,157,14.21
uNKOE,5,Support,Los Angeles Valiant,44,59,38,9,8,8,219,19.78
Taimou,5,Offense,Dallas Fuel,109,61,70,25,10,0,257,23.59
chipshajen,5,Support,Dallas Fuel,8,37,44,0,3,84,239,21.93
HarryHook,5,Support,Dallas Fuel,48,46,56,10,8,0,290,26.61
cocco,5,Tank,Dallas Fuel,53,73,40,10,15,0,178,16.34
Dayfly,5,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Bunny,5,Offense,Seoul Dynasty,89,55,64,22,11,0,209,21.52
zunba,5,Tank,Seoul Dynasty,64,66,0,13,9,0,105,8.7
Gamsu,5,Tank,Boston Uprising,83,79,52,10,13,0,270,23.73
Rascal,5,Offense,London Spitfire,8,6,5,2,2,0,15,12.86
Birdring,5,Offense,London Spitfire,204,151,122,47,31,0,411,17.77
ryujehong,5,Support,Seoul Dynasty,30,74,40,5,17,23,157,13.01
tobi,5,Support,Seoul Dynasty,4,38,28,0,7,44,110,12.74
Miro,5,Tank,Seoul Dynasty,47,64,43,7,11,0,176,14.59
MekO,5,Tank,New York Excelsior,116,85,0,14,12,0,191,10.0
Saebyeolbe,5,Offense,New York Excelsior,106,77,67,17,18,0,200,15.88
janus,5,Tank,New York Excelsior,38,48,34,5,11,0,139,17.25
KuKi,5,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,5,Offense,Seoul Dynasty,18,17,11,3,5,0,26,11.06
Surefour,5,Offense,Los Angeles Gladiators,71,39,38,15,10,0,151,19.65
Custa,5,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
iddqd,5,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,5,Tank,Houston Outlaws,131,88,2,16,7,0,237,15.29
clockwork,5,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,5,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,5,Offense,Los Angeles Valiant,81,36,26,9,5,0,160,23.07
