Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,12,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
TviQ,12,Offense,Florida Mayhem,89,86,54,24,14,0,166,13.98
aKm,12,Offense,Dallas Fuel,41,49,25,13,15,0,54,8.21
uNKOE,12,Support,Dallas Fuel,40,83,57,4,11,2,205,15.67
Taimou,12,Offense,Dallas Fuel,9,13,8,3,5,0,36,23.38
chipshajen,12,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,12,Support,Dallas Fuel,2,63,53,1,11,55,167,12.77
cocco,12,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,12,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,12,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,12,Offense,Los Angeles Valiant,81,34,53,18,7,0,203,26.39
zunba,12,Tank,Seoul Dynasty,14,37,4,2,11,0,0,0.0
Gamsu,12,Tank,Boston Uprising,56,71,38,10,10,0,185,16.01
Rascal,12,Offense,Dallas Fuel,33,28,17,6,12,0,43,8.67
Birdring,12,Offense,London Spitfire,37,53,34,8,14,0,43,5.32
ryujehong,12,Support,Seoul Dynasty,45,73,57,8,17,0,231,18.08
tobi,12,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Miro,12,Tank,Seoul Dynasty,49,56,43,5,12,0,179,14.01
MekO,12,Tank,New York Excelsior,79,63,7,8,7,0,141,10.98
Saebyeolbe,12,Offense,New York Excelsior,110,58,56,16,10,0,230,17.91
janus,12,Tank,New York Excelsior,39,31,15,9,7,0,121,22.65
Gambler,12,Support,Seoul Dynasty,4,62,50,0,10,45,148,11.59
KuKi,12,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,12,Offense,Seoul Dynasty,89,38,43,23,8,0,213,24.5
Surefour,12,Offense,Los Angeles Gladiators,132,43,69,34,10,0,338,28.57
Custa,12,Support,Los Angeles Valiant,5,47,48,3,6,37,168,14.12
iddqd,12,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,12,Tank,Houston Outlaws,68,65,0,6,7,0,88,6.76
clockwork,12,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,12,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,12,Offense,Los Angeles Valiant,39,21,22,8,5,0,85,20.19
ShaDowBurn,12,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,12,Support,Houston Outlaws,35,87,54,10,19,1,184,14.14
FCTFCTN,12,Tank,Houston Outlaws,32,24,17,7,3,0,116,24.42
Manneten,12,Tank,Florida Mayhem,67,61,6,12,6,0,133,11.2
SoOn,12,Offense,Los Angeles Valiant,101,55,66,25,9,0,245,20.59
Zebbosai,12,Support,Florida Mayhem,6,56,48,2,9,34,147,12.38
Nevix,12,Tank,San Francisco Shock,52,71,2,6,6,0,57,5.02
Fragi,12,Tank,Philadelphia Fusion,58,79,43,5,17,0,169,13.8
Zuppeh,12,Support,Florida Mayhem,33,57,45,5,10,3,182,15.33
zappis,12,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,12,Offense,Houston Outlaws,101,96,66,29,17,0,196,15.06
numlocked,12,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,12,Offense,Shanghai Dragons,82,71,57,17,16,0,152,13.11
Joemeister,12,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
