Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,19,Tank,Dallas Fuel,78,44,25,21,6,0,265,27.61
TviQ,19,Offense,Florida Mayhem,72,74,51,16,21,0,111,9.78
aKm,19,Offense,Dallas Fuel,49,36,19,16,7,0,99,23.88
uNKOE,19,Support,Dallas Fuel,34,46,39,4,7,0,175,18.24
Taimou,19,Offense,Dallas Fuel,43,23,27,21,7,0,118,21.64
chipshajen,19,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,19,Support,Dallas Fuel,9,45,41,0,7,35,144,15.01
cocco,19,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,19,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,19,Offense,Houston Outlaws,35,27,20,7,3,0,71,18.83
Bunny,19,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
zunba,19,Tank,Seoul Dynasty,57,48,11,8,5,0,126,11.5
Gamsu,19,Tank,Boston Uprising,52,36,31,6,6,0,179,20.56
Rascal,19,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,19,Offense,London Spitfire,82,41,47,22,7,0,200,19.36
ryujehong,19,Support,Seoul Dynasty,30,66,41,8,15,0,149,13.59
tobi,19,Support,Seoul Dynasty,3,13,6,0,1,5,20,10.06
Miro,19,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
MekO,19,Tank,New York Excelsior,70,39,2,3,5,0,114,10.1
Saebyeolbe,19,Offense,New York Excelsior,81,48,52,24,15,0,184,20.37
janus,19,Tank,New York Excelsior,11,22,17,3,5,0,58,12.61
Gambler,19,Support,Seoul Dynasty,6,49,35,2,10,38,120,13.38
KuKi,19,Tank,Seoul Dynasty,44,67,31,9,11,0,139,12.68
munchkin,19,Offense,Seoul Dynasty,29,35,32,8,7,0,57,9.3
Surefour,19,Offense,Los Angeles Gladiators,97,78,63,28,16,0,203,16.47
Custa,19,Support,Los Angeles Valiant,6,42,46,0,9,40,157,15.2
iddqd,19,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,19,Tank,Houston Outlaws,50,41,3,7,4,0,92,11.13
clockwork,19,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,19,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,19,Offense,Los Angeles Valiant,93,57,57,10,21,0,164,15.88
ShaDowBurn,19,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,19,Support,Houston Outlaws,30,59,47,5,11,0,170,15.43
FCTFCTN,19,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,19,Tank,Florida Mayhem,57,57,8,5,7,0,94,8.28
SoOn,19,Offense,Los Angeles Valiant,83,66,50,28,17,0,172,16.65
Zebbosai,19,Support,Florida Mayhem,4,53,44,1,8,29,123,10.84
Nevix,19,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Fragi,19,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Zuppeh,19,Support,Florida Mayhem,38,39,46,10,6,0,241,21.24
zappis,19,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,19,Offense,Houston Outlaws,118,75,54,27,30,0,209,18.97
numlocked,19,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,19,Offense,Shanghai Dragons,57,66,48,16,20,0,88,8.31
Joemeister,19,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,19,Support,Philadelphia Fusion,16,47,53,2,12,49,218,17.33
Mickie,19,Tank,Dallas Fuel,56,49,34,9,6,0,195,20.32
Mendokusaii,19,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,19,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
dhaK,19,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,19,Offense,San Francisco Shock,58,64,48,15,15,0,100,9.89
xQc,19,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
