Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Striker,19,Offense,Boston Uprising,87,36,53,25,15,0,211,24.24
Woohyal,19,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,19,Support,Houston Outlaws,0,0,0,0,0,0,0,0.0
JAKE,19,Offense,Houston Outlaws,59,54,36,17,9,0,116,16.0
CWoosH,19,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Finnsi,19,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Logix,19,Offense,Florida Mayhem,30,29,25,6,14,0,40,8.42
Xushu,19,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Spree,19,Tank,Houston Outlaws,15,14,8,2,2,0,46,16.71
Verbo,19,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
SNT,19,Tank,Florida Mayhem,38,74,41,12,16,0,157,13.84
Pine,19,Offense,New York Excelsior,16,18,11,2,9,0,11,4.89
babybay,19,Offense,San Francisco Shock,53,70,38,16,21,0,64,7.83
iRemiix,19,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,19,Support,Los Angeles Valiant,40,39,41,8,5,0,226,21.88
Libero,19,Offense,New York Excelsior,97,62,51,19,17,0,187,16.58
sayaplayer,19,Offense,Florida Mayhem,57,43,33,9,10,0,102,15.46
Effect,19,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Mano,19,Tank,New York Excelsior,32,41,22,5,10,0,99,14.81
Nus,19,Support,London Spitfire,3,20,16,1,1,10,54,12.63
Fissure,19,Tank,Los Angeles Gladiators,58,53,52,13,12,0,259,21.01
Kellex,19,Support,Boston Uprising,3,28,32,0,7,37,119,13.67
super,19,Tank,San Francisco Shock,40,78,37,6,7,0,130,11.35
Avast,19,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,19,Offense,Boston Uprising,0,0,0,0,0,0,0,0.0
Carpe,19,Offense,Philadelphia Fusion,122,58,66,25,14,0,274,21.79
Shaz,19,Support,Los Angeles Gladiators,30,66,57,5,14,0,187,15.17
Fleta,19,Offense,Seoul Dynasty,83,64,39,23,11,0,165,15.05
Hydration,19,Offense,Los Angeles Gladiators,74,78,52,25,14,0,144,11.68
Sleepy,19,Support,San Francisco Shock,27,55,47,4,7,0,169,14.75
Muma,19,Tank,Houston Outlaws,46,45,42,7,8,0,193,17.52
Poko,19,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Danteh,19,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
Bani,19,Support,Houston Outlaws,2,47,46,0,5,47,158,14.34
Bischu,19,Tank,Los Angeles Gladiators,26,21,0,4,0,0,47,8.16
Space,19,Tank,Los Angeles Valiant,57,28,9,8,2,0,143,13.84
silkthread,19,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Eqo,19,Offense,Philadelphia Fusion,123,74,56,24,19,0,238,18.92
Moth,19,Support,San Francisco Shock,7,65,38,0,14,34,94,8.2
NotE,19,Tank,Boston Uprising,51,28,7,7,3,0,120,13.79
Snow,19,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
ChoiHyoBin,19,Tank,San Francisco Shock,62,61,5,13,8,0,122,10.65
Closer,19,Support,London Spitfire,2,20,24,1,4,15,77,12.71
TiZi,19,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,19,Tank,Los Angeles Valiant,45,57,38,7,15,0,160,15.49
Architect,19,Offense,San Francisco Shock,36,33,18,8,7,0,59,12.74
Asher,19,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
envy,19,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
KSF,19,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Xepher,19,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Sky,19,Support,Shanghai Dragons,4,5,4,2,2,0,23,16.03
uNdeAD,19,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
mg,19,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Roshan,19,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Freefeel,19,Support,Shanghai Dragons,18,55,39,5,9,0,118,12.89
FiveKing,19,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Fury,19,Tank,London Spitfire,52,29,2,10,3,0,118,11.42
Void,19,Tank,Los Angeles Gladiators,31,21,8,6,2,0,87,13.25
Daemin,19,Offense,Shanghai Dragons,13,11,8,2,2,0,23,16.57
Boombox,19,Support,Philadelphia Fusion,49,50,50,11,7,3,282,22.42
Gido,19,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
ANAMO,19,Support,New York Excelsior,1,32,48,0,6,37,159,14.09
BigG00se,19,Support,Los Angeles Gladiators,12,54,49,2,8,50,197,15.98
Mistakes,19,Offense,Boston Uprising,86,33,41,18,9,0,198,22.75
snillo,19,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,19,Support,New York Excelsior,0,0,0,0,0,0,0,0.0
Wekeed,19,Offense,Seoul Dynasty,31,31,17,6,6,0,48,9.93
HOTBA,19,Tank,Philadelphia Fusion,59,37,6,10,3,0,136,10.81
Gesture,19,Tank,London Spitfire,51,59,37,8,17,0,169,16.36
Profit,19,Offense,London Spitfire,70,56,53,19,17,0,141,13.65
Hooreg,19,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
HagoPeun,19,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Neko,19,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
OGe,19,Tank,Dallas Fuel,64,50,41,6,12,0,213,22.2
Aimgod,19,Support,Boston Uprising,55,34,34,7,9,0,243,27.91
Kalios,19,Tank,Boston Uprising,0,0,0,0,0,0,0,0.0
Bdosin,19,Support,London Spitfire,35,46,47,7,8,0,212,20.52
Geguri,19,Tank,Shanghai Dragons,48,47,5,9,6,0,94,8.88
Ado,19,Offense,Shanghai Dragons,61,59,36,17,18,0,97,10.55
JJoNak,19,Support,New York Excelsior,64,48,46,8,9,0,296,26.24
Altering,19,Support,Shanghai Dragons,1,51,46,0,8,43,139,13.13
Fearless,19,Tank,Shanghai Dragons,39,72,39,8,9,0,146,13.79
SADO,19,Tank,Philadelphia Fusion,59,71,42,6,21,0,176,13.99
