Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,10,Tank,Dallas Fuel,66,73,0,6,4,0,63,5.12
TviQ,10,Offense,Florida Mayhem,76,71,55,17,11,0,148,13.09
aKm,10,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
uNKOE,10,Support,Los Angeles Valiant,22,47,34,6,9,2,130,15.6
Taimou,10,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
chipshajen,10,Support,Dallas Fuel,31,100,45,6,37,0,78,6.34
HarryHook,10,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
cocco,10,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,10,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Bunny,10,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
zunba,10,Tank,Seoul Dynasty,59,45,10,17,8,0,163,14.7
Gamsu,10,Tank,Boston Uprising,84,89,49,18,16,0,282,20.96
Rascal,10,Offense,Dallas Fuel,86,92,53,17,12,0,143,11.62
Birdring,10,Offense,London Spitfire,48,32,27,7,8,0,89,16.83
ryujehong,10,Support,Seoul Dynasty,38,57,46,7,11,0,201,18.13
tobi,10,Support,Seoul Dynasty,9,45,46,0,4,26,151,13.62
Miro,10,Tank,Seoul Dynasty,19,25,20,2,7,0,74,14.08
MekO,10,Tank,New York Excelsior,74,47,1,12,3,0,149,13.52
Saebyeolbe,10,Offense,New York Excelsior,103,41,70,18,8,0,255,23.14
janus,10,Tank,New York Excelsior,21,19,9,4,3,0,63,19.97
KuKi,10,Tank,Seoul Dynasty,18,43,18,1,9,0,42,7.2
munchkin,10,Offense,Seoul Dynasty,94,47,58,18,8,0,219,19.75
Surefour,10,Offense,Los Angeles Gladiators,72,48,32,15,10,0,138,19.75
Custa,10,Support,Dallas Fuel,16,68,49,2,4,31,174,14.13
iddqd,10,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,10,Tank,Houston Outlaws,55,37,0,7,5,0,96,10.72
clockwork,10,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,10,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,10,Offense,Los Angeles Valiant,45,65,35,7,15,0,44,4.93
ShaDowBurn,10,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,10,Support,Houston Outlaws,30,37,52,6,9,0,215,24.01
FCTFCTN,10,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,10,Tank,Florida Mayhem,63,65,0,10,2,0,99,8.75
SoOn,10,Offense,Los Angeles Valiant,82,61,61,20,17,0,170,16.48
Zebbosai,10,Support,Florida Mayhem,8,63,40,3,9,15,98,8.66
Nevix,10,Tank,San Francisco Shock,83,65,1,8,5,0,131,10.44
Fragi,10,Tank,Philadelphia Fusion,49,56,41,9,8,0,193,18.0
Zuppeh,10,Support,Florida Mayhem,32,70,48,7,14,3,175,15.47
zappis,10,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,10,Offense,Houston Outlaws,84,38,43,15,5,0,193,24.27
numlocked,10,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,10,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Joemeister,10,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,10,Support,Philadelphia Fusion,19,49,50,2,8,19,179,16.7
Mickie,10,Tank,Dallas Fuel,47,96,43,13,14,0,165,13.4
Mendokusaii,10,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,10,Tank,San Francisco Shock,70,87,40,12,18,0,203,16.18
dhaK,10,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,10,Offense,San Francisco Shock,93,73,68,16,13,0,187,16.15
xQc,10,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,10,Offense,Boston Uprising,137,61,76,29,10,0,327,24.31
Woohyal,10,Tank,London Spitfire,36,12,0,4,2,0,74,14.0
Boink,10,Support,Houston Outlaws,9,31,26,0,4,10,82,12.77
JAKE,10,Offense,Houston Outlaws,91,57,48,18,17,0,175,19.55
CWoosH,10,Tank,Florida Mayhem,28,78,39,6,14,0,105,9.28
Logix,10,Offense,Florida Mayhem,91,63,58,23,20,0,183,16.18
Xushu,10,Tank,Shanghai Dragons,19,51,0,3,2,0,-3,-0.42
Spree,10,Tank,Houston Outlaws,9,4,6,3,1,0,24,24.0
Verbo,10,Support,Los Angeles Valiant,8,37,22,2,8,15,68,9.21
SNT,10,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Pine,10,Offense,New York Excelsior,0,0,0,0,0,0,0,0.0
babybay,10,Offense,San Francisco Shock,26,33,15,6,11,0,24,6.17
iRemiix,10,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,10,Support,Los Angeles Valiant,16,32,35,4,7,13,29,4.59
Libero,10,Offense,New York Excelsior,100,53,47,23,12,0,216,19.6
sayaplayer,10,Offense,Florida Mayhem,0,0,0,0,0,0,0,0.0
Effect,10,Offense,Dallas Fuel,104,74,81,22,14,0,231,18.77
Mano,10,Tank,New York Excelsior,55,44,24,10,10,0,168,21.36
Nus,10,Support,London Spitfire,6,20,35,0,3,17,123,23.27
Fissure,10,Tank,Los Angeles Gladiators,83,71,37,12,10,0,244,21.48
Kellex,10,Support,Boston Uprising,13,72,53,5,12,35,175,13.01
super,10,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Avast,10,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,10,Offense,Boston Uprising,137,82,60,32,11,0,294,21.86
Carpe,10,Offense,Philadelphia Fusion,99,49,63,20,11,0,230,21.45
Shaz,10,Support,Los Angeles Gladiators,21,79,52,5,16,4,134,11.8
Fleta,10,Offense,Seoul Dynasty,66,52,28,13,12,0,110,15.85
Hydration,10,Offense,Los Angeles Gladiators,37,47,29,10,12,0,52,7.22
Sleepy,10,Support,San Francisco Shock,36,56,51,7,17,0,199,15.86
Muma,10,Tank,Houston Outlaws,56,38,32,10,7,0,203,22.67
Poko,10,Tank,Philadelphia Fusion,73,38,3,11,5,0,156,14.55
Danteh,10,Offense,San Francisco Shock,65,60,50,13,18,0,110,11.42
Bani,10,Support,Houston Outlaws,2,11,11,1,1,5,38,15.0
Bischu,10,Tank,Los Angeles Gladiators,46,60,0,9,9,0,59,5.19
