Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,17,Tank,Dallas Fuel,81,37,11,15,6,0,212,22.42
TviQ,17,Offense,Florida Mayhem,74,69,39,12,14,0,114,10.78
aKm,17,Offense,Dallas Fuel,32,13,15,11,7,0,74,30.37
uNKOE,17,Support,Dallas Fuel,42,37,38,8,6,0,223,23.59
Taimou,17,Offense,Dallas Fuel,70,39,40,19,10,0,287,40.89
chipshajen,17,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,17,Support,Dallas Fuel,7,37,40,0,4,32,144,15.23
cocco,17,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,17,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,17,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,17,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
zunba,17,Tank,Seoul Dynasty,42,45,2,7,5,0,68,6.81
Gamsu,17,Tank,Boston Uprising,41,81,32,7,19,0,106,9.13
Rascal,17,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,17,Offense,London Spitfire,119,50,56,37,10,0,298,25.5
ryujehong,17,Support,Seoul Dynasty,24,54,37,4,14,0,117,11.73
tobi,17,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Miro,17,Tank,Seoul Dynasty,26,44,20,1,13,0,59,8.17
MekO,17,Tank,New York Excelsior,59,25,4,10,3,0,142,16.0
Saebyeolbe,17,Offense,New York Excelsior,61,29,39,14,8,0,144,18.19
janus,17,Tank,New York Excelsior,20,11,6,4,5,0,58,18.9
Gambler,17,Support,Seoul Dynasty,8,34,39,0,9,24,126,12.63
KuKi,17,Tank,Seoul Dynasty,11,19,9,1,8,0,26,9.43
munchkin,17,Offense,Seoul Dynasty,16,15,14,7,3,0,39,14.15
Surefour,17,Offense,Los Angeles Gladiators,75,49,44,24,17,0,159,17.5
Custa,17,Support,Los Angeles Valiant,11,35,52,2,7,43,213,17.91
iddqd,17,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,17,Tank,Houston Outlaws,23,44,2,3,8,0,12,1.65
clockwork,17,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,17,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,17,Offense,Los Angeles Valiant,116,67,49,24,14,0,234,19.67
ShaDowBurn,17,Offense,Philadelphia Fusion,28,15,10,6,5,0,53,23.8
Rawkus,17,Support,Houston Outlaws,16,47,33,6,10,0,104,11.84
FCTFCTN,17,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,17,Tank,Florida Mayhem,38,60,18,8,12,0,90,8.51
SoOn,17,Offense,Los Angeles Valiant,100,74,58,31,23,0,200,16.81
Zebbosai,17,Support,Florida Mayhem,3,47,47,1,5,31,144,13.62
Nevix,17,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Fragi,17,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Zuppeh,17,Support,Florida Mayhem,31,64,47,4,17,0,152,14.37
zappis,17,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,17,Offense,Houston Outlaws,71,63,39,19,18,0,120,13.66
numlocked,17,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,17,Offense,Shanghai Dragons,64,82,35,20,19,0,83,8.64
Joemeister,17,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,17,Support,Philadelphia Fusion,9,32,38,0,5,51,176,18.75
Mickie,17,Tank,Dallas Fuel,48,47,38,11,10,0,197,20.84
Mendokusaii,17,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,17,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
dhaK,17,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,17,Offense,San Francisco Shock,71,52,55,17,16,0,147,14.4
xQc,17,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,17,Offense,Boston Uprising,89,68,55,24,22,0,169,14.55
Woohyal,17,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,17,Support,Houston Outlaws,0,0,0,0,0,0,0,0.0
JAKE,17,Offense,Houston Outlaws,65,68,37,15,20,0,89,10.13
CWoosH,17,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Finnsi,17,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Logix,17,Offense,Florida Mayhem,19,18,10,6,4,0,34,16.29
Xushu,17,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Spree,17,Tank,Houston Outlaws,11,6,8,1,0,0,26,17.29
Verbo,17,Support,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
SNT,17,Tank,Florida Mayhem,31,72,34,5,17,0,95,8.98
Pine,17,Offense,New York Excelsior,37,23,14,4,9,0,55,13.42
babybay,17,Offense,San Francisco Shock,7,1,3,1,0,0,18,26.02
iRemiix,17,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,17,Support,Los Angeles Valiant,49,50,44,9,8,0,249,20.93
Libero,17,Offense,New York Excelsior,61,23,23,21,8,0,148,25.81
sayaplayer,17,Offense,Florida Mayhem,83,55,42,31,12,0,191,22.5
Effect,17,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Mano,17,Tank,New York Excelsior,31,17,20,3,6,0,111,19.12
Nus,17,Support,London Spitfire,5,38,45,1,4,41,170,14.55
Fissure,17,Tank,Los Angeles Gladiators,54,40,31,9,7,0,190,20.91
Kellex,17,Support,Boston Uprising,1,50,43,0,8,64,162,13.95
super,17,Tank,San Francisco Shock,53,56,37,8,11,0,182,16.7
Avast,17,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,17,Offense,Boston Uprising,0,0,0,0,0,0,0,0.0
Carpe,17,Offense,Philadelphia Fusion,88,50,45,28,8,0,211,22.48
Shaz,17,Support,Los Angeles Gladiators,40,37,41,8,6,0,226,24.87
Fleta,17,Offense,Seoul Dynasty,47,54,39,13,10,0,85,8.52
Hydration,17,Offense,Los Angeles Gladiators,96,52,44,23,11,0,208,22.89
Sleepy,17,Support,San Francisco Shock,54,56,39,17,12,0,267,24.5
Muma,17,Tank,Houston Outlaws,17,43,29,2,10,0,76,8.65
Poko,17,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Danteh,17,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
Bani,17,Support,Houston Outlaws,2,47,35,0,9,34,97,11.04
Bischu,17,Tank,Los Angeles Gladiators,24,9,0,4,0,0,55,12.32
Space,17,Tank,Los Angeles Valiant,54,39,24,9,4,0,173,14.54
silkthread,17,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Eqo,17,Offense,Philadelphia Fusion,50,46,25,7,15,0,63,8.8
Moth,17,Support,San Francisco Shock,0,47,44,0,9,45,135,12.39
NotE,17,Tank,Boston Uprising,36,30,9,5,5,0,84,13.71
Snow,17,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Closer,17,Support,London Spitfire,0,0,0,0,0,0,0,0.0
TiZi,17,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,17,Tank,Los Angeles Valiant,60,62,40,14,18,0,216,18.16
Architect,17,Offense,San Francisco Shock,105,56,51,24,15,0,223,20.46
Asher,17,Offense,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
envy,17,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
KSF,17,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Xepher,17,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Sky,17,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
uNdeAD,17,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
mg,17,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Roshan,17,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Freefeel,17,Support,Shanghai Dragons,15,68,28,3,14,0,45,4.69
FiveKing,17,Support,Shanghai Dragons,2,32,22,0,5,17,56,10.06
Fury,17,Tank,London Spitfire,57,34,0,8,1,0,111,9.5
Void,17,Tank,Los Angeles Gladiators,29,28,9,3,6,0,63,13.63
Daemin,17,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Boombox,17,Support,Philadelphia Fusion,34,42,36,4,6,0,172,18.33
Gido,17,Offense,Seoul Dynasty,0,0,0,0,0,0,0,0.0
ANAMO,17,Support,New York Excelsior,0,6,23,0,0,18,90,16.02
BigG00se,17,Support,Los Angeles Gladiators,6,42,32,0,5,39,121,13.32
Mistakes,17,Offense,Boston Uprising,84,75,49,19,23,0,134,11.54
snillo,17,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,17,Support,New York Excelsior,0,8,9,0,2,4,21,6.45
Wekeed,17,Offense,Seoul Dynasty,37,44,23,10,10,0,53,7.34
HOTBA,17,Tank,Philadelphia Fusion,49,28,11,8,8,0,127,13.53
Gesture,17,Tank,London Spitfire,66,68,43,18,16,0,249,21.31
Profit,17,Offense,London Spitfire,100,61,59,23,12,0,220,18.83
Hooreg,17,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
HagoPeun,17,Support,London Spitfire,0,0,0,0,0,0,0,0.0
Neko,17,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
OGe,17,Tank,Dallas Fuel,48,42,38,9,12,0,192,20.31
Aimgod,17,Support,Boston Uprising,31,61,46,2,13,0,152,13.09
Kalios,17,Tank,Boston Uprising,19,31,6,7,3,0,50,9.11
Bdosin,17,Support,London Spitfire,39,40,42,6,8,0,211,18.06
Geguri,17,Tank,Shanghai Dragons,29,51,11,6,7,0,57,5.93
Ado,17,Offense,Shanghai Dragons,65,64,39,18,10,0,121,12.6
JJoNak,17,Support,New York Excelsior,44,21,35,5,8,0,220,24.79
Altering,17,Support,Shanghai Dragons,0,11,17,0,3,20,64,15.85
Fearless,17,Tank,Shanghai Dragons,22,65,33,3,11,0,79,8.22
SADO,17,Tank,Philadelphia Fusion,47,49,29,7,9,0,151,16.09
