Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,1,Tank,Dallas Fuel,53,39,21,6,8,0,90,17.85
TviQ,1,Offense,Florida Mayhem,76,84,31,17,14,0,122,13.54
uNKOE,1,Support,Los Angeles Valiant,40,76,45,5,10,0,44,3.68
Taimou,1,Offense,Dallas Fuel,114,80,52,15,12,0,221,18.73
chipshajen,1,Support,Dallas Fuel,2,48,23,0,6,0,-33,-5.25
HarryHook,1,Support,Dallas Fuel,59,98,43,10,13,0,67,5.31
cocco,1,Tank,Dallas Fuel,17,13,7,4,1,0,38,18.25
Dayfly,1,Support,Philadelphia Fusion,0,32,17,0,8,0,-31,-6.49
Bunny,1,Offense,Seoul Dynasty,19,13,17,3,1,0,49,20.4
zunba,1,Tank,Seoul Dynasty,101,69,4,9,2,0,160,13.99
Gamsu,1,Tank,Boston Uprising,68,66,28,9,12,0,101,11.04
Rascal,1,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
Birdring,1,Offense,London Spitfire,93,43,39,14,8,0,208,22.75
ryujehong,1,Support,Seoul Dynasty,49,75,47,4,13,0,56,4.9
tobi,1,Support,Seoul Dynasty,14,58,50,0,7,0,6,0.52
Miro,1,Tank,Seoul Dynasty,44,38,24,7,9,0,77,12.64
MekO,1,Tank,New York Excelsior,62,48,5,8,1,0,103,11.07
Saebyeolbe,1,Offense,New York Excelsior,96,60,44,10,15,0,176,18.92
janus,1,Tank,New York Excelsior,20,20,9,2,4,0,27,7.46
KuKi,1,Tank,Seoul Dynasty,31,35,18,0,4,0,37,6.92
munchkin,1,Offense,Seoul Dynasty,65,53,50,7,7,0,134,22.0
Surefour,1,Offense,Los Angeles Gladiators,61,34,27,6,10,0,113,19.64
Custa,1,Support,Dallas Fuel,15,38,27,0,4,0,11,1.74
iddqd,1,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,1,Tank,Houston Outlaws,65,60,0,7,3,0,85,8.75
clockwork,1,Offense,Houston Outlaws,20,19,13,2,4,0,32,12.84
GrimReality,1,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,1,Offense,Los Angeles Valiant,57,42,28,9,9,0,109,18.64
ShaDowBurn,1,Offense,Philadelphia Fusion,103,74,33,16,11,0,191,18.14
Rawkus,1,Support,Houston Outlaws,37,76,32,3,13,0,13,1.23
Manneten,1,Tank,Florida Mayhem,56,57,4,10,4,0,81,8.99
SoOn,1,Offense,Los Angeles Valiant,131,77,76,21,12,0,300,25.08
