Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,13,Tank,Dallas Fuel,21,16,2,3,2,0,42,8.99
TviQ,13,Offense,Florida Mayhem,67,53,30,13,13,0,111,14.45
aKm,13,Offense,Dallas Fuel,58,55,31,18,15,0,98,12.37
uNKOE,13,Support,Dallas Fuel,7,35,19,3,13,4,35,7.49
Taimou,13,Offense,Dallas Fuel,18,17,11,3,5,0,59,23.68
chipshajen,13,Support,Dallas Fuel,15,38,17,3,5,4,66,11.49
HarryHook,13,Support,Dallas Fuel,6,58,38,0,8,37,114,10.94
cocco,13,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,13,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,13,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,13,Offense,Los Angeles Valiant,49,29,44,9,5,0,121,17.14
zunba,13,Tank,Seoul Dynasty,42,20,0,5,2,0,82,14.94
Gamsu,13,Tank,Boston Uprising,64,71,44,10,15,0,214,18.81
Rascal,13,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,13,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
ryujehong,13,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
tobi,13,Support,Seoul Dynasty,6,42,48,0,5,36,165,15.12
Miro,13,Tank,Seoul Dynasty,59,42,33,7,8,0,195,22.13
MekO,13,Tank,New York Excelsior,81,59,0,15,3,0,160,12.26
Saebyeolbe,13,Offense,New York Excelsior,65,40,47,11,9,0,141,14.93
janus,13,Tank,New York Excelsior,29,29,17,2,10,0,78,13.34
Gambler,13,Support,Seoul Dynasty,0,0,0,0,0,0,0,0.0
KuKi,13,Tank,Seoul Dynasty,11,10,10,1,2,0,44,20.92
munchkin,13,Offense,Seoul Dynasty,91,47,63,20,5,0,228,20.89
Surefour,13,Offense,Los Angeles Gladiators,64,52,51,13,16,0,121,12.37
Custa,13,Support,Los Angeles Valiant,2,47,38,1,12,27,94,8.23
iddqd,13,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,13,Tank,Houston Outlaws,84,51,0,14,3,0,170,16.5
clockwork,13,Offense,Houston Outlaws,18,15,10,2,8,0,19,9.21
GrimReality,13,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,13,Offense,Los Angeles Valiant,75,48,40,16,12,0,150,16.31
ShaDowBurn,13,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,13,Support,Houston Outlaws,43,52,39,7,10,4,208,20.19
FCTFCTN,13,Tank,Houston Outlaws,7,13,8,0,2,0,23,13.53
Manneten,13,Tank,Florida Mayhem,37,46,1,3,3,0,40,4.4
SoOn,13,Offense,Los Angeles Valiant,36,46,37,8,19,0,41,6.23
Zebbosai,13,Support,Florida Mayhem,3,46,39,0,8,24,100,11.0
Nevix,13,Tank,San Francisco Shock,70,33,0,16,3,0,168,16.44
Fragi,13,Tank,Philadelphia Fusion,59,73,38,14,23,0,192,15.89
Zuppeh,13,Support,Florida Mayhem,39,47,37,12,6,0,217,23.88
zappis,13,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,13,Offense,Houston Outlaws,100,69,50,25,11,0,209,20.29
numlocked,13,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,13,Offense,Shanghai Dragons,58,77,38,21,22,0,75,7.55
Joemeister,13,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,13,Support,Philadelphia Fusion,10,67,46,1,7,56,175,14.48
Mickie,13,Tank,Dallas Fuel,33,30,0,5,2,0,54,9.4
Mendokusaii,13,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,13,Tank,San Francisco Shock,4,7,4,0,1,0,12,9.13
dhaK,13,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,13,Offense,San Francisco Shock,42,26,35,4,6,0,89,16.79
xQc,13,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,13,Offense,Boston Uprising,109,55,61,20,10,0,244,21.45
Woohyal,13,Tank,London Spitfire,15,10,0,6,3,0,41,16.27
Boink,13,Support,Houston Outlaws,2,12,7,1,1,4,23,11.15
JAKE,13,Offense,Houston Outlaws,80,53,46,17,14,0,159,19.3
CWoosH,13,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
