Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,8,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
TviQ,8,Offense,Florida Mayhem,126,83,62,28,11,0,265,20.36
aKm,8,Offense,Dallas Fuel,67,58,36,13,14,0,110,13.56
uNKOE,8,Support,Los Angeles Valiant,38,69,44,6,20,4,167,14.17
Taimou,8,Offense,Dallas Fuel,41,73,35,7,11,0,36,3.68
chipshajen,8,Support,Dallas Fuel,30,85,49,4,16,3,141,11.58
HarryHook,8,Support,Dallas Fuel,19,71,47,1,12,24,144,11.82
cocco,8,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,8,Support,Philadelphia Fusion,15,37,28,6,5,0,106,16.08
Bunny,8,Offense,Seoul Dynasty,49,11,28,14,4,0,135,30.87
zunba,8,Tank,Seoul Dynasty,30,24,1,7,2,0,65,13.54
Gamsu,8,Tank,Boston Uprising,0,0,0,0,0,0,0,0.0
Rascal,8,Offense,Dallas Fuel,52,49,36,12,12,0,91,12.93
Birdring,8,Offense,London Spitfire,85,48,34,19,11,0,172,18.82
ryujehong,8,Support,Seoul Dynasty,12,23,19,4,7,0,72,15.0
tobi,8,Support,Seoul Dynasty,15,38,36,2,4,4,121,13.19
Miro,8,Tank,Seoul Dynasty,21,23,17,2,4,0,74,15.42
MekO,8,Tank,New York Excelsior,68,47,0,10,5,0,124,10.34
Saebyeolbe,8,Offense,New York Excelsior,102,38,61,21,9,0,251,20.93
janus,8,Tank,New York Excelsior,14,10,11,3,3,0,60,20.02
KuKi,8,Tank,Seoul Dynasty,24,15,18,6,2,0,109,24.92
munchkin,8,Offense,Seoul Dynasty,38,26,29,9,4,0,89,18.54
Surefour,8,Offense,Los Angeles Gladiators,53,36,29,14,10,0,107,15.21
Custa,8,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
iddqd,8,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,8,Tank,Houston Outlaws,64,53,0,9,6,0,105,8.96
clockwork,8,Offense,Houston Outlaws,15,16,17,4,4,0,31,10.01
GrimReality,8,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,8,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
ShaDowBurn,8,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,8,Support,Houston Outlaws,48,64,55,12,15,0,263,22.45
FCTFCTN,8,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,8,Tank,Florida Mayhem,88,61,0,10,2,0,153,11.75
SoOn,8,Offense,Los Angeles Valiant,107,76,68,25,17,0,222,18.84
Zebbosai,8,Support,Florida Mayhem,16,93,50,1,17,13,95,7.3
Nevix,8,Tank,San Francisco Shock,64,57,1,11,3,0,115,10.33
Fragi,8,Tank,Philadelphia Fusion,40,68,31,5,14,0,111,9.74
Zuppeh,8,Support,Florida Mayhem,39,82,57,7,18,0,198,15.21
zappis,8,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,8,Offense,Houston Outlaws,90,90,55,23,19,0,153,13.06
numlocked,8,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,8,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Joemeister,8,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,8,Support,Philadelphia Fusion,19,56,40,2,12,18,132,11.59
Mickie,8,Tank,Dallas Fuel,68,77,3,14,7,0,117,9.61
Mendokusaii,8,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,8,Tank,San Francisco Shock,47,74,34,4,10,0,128,11.5
dhaK,8,Support,San Francisco Shock,21,58,38,1,6,14,132,11.86
sinatraa,8,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
xQc,8,Tank,Dallas Fuel,11,20,9,1,6,0,27,11.25
Striker,8,Offense,Boston Uprising,88,49,62,16,6,0,209,20.05
Woohyal,8,Tank,London Spitfire,3,10,0,0,0,0,-4,-1.85
Boink,8,Support,Houston Outlaws,10,40,27,2,8,10,78,10.61
JAKE,8,Offense,Houston Outlaws,67,55,43,17,10,0,136,15.78
CWoosH,8,Tank,Florida Mayhem,50,80,48,9,20,0,180,13.83
Logix,8,Offense,Florida Mayhem,113,77,71,25,23,0,224,17.21
Xushu,8,Tank,Shanghai Dragons,46,64,8,10,9,0,83,9.52
Spree,8,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Verbo,8,Support,Los Angeles Valiant,12,55,35,1,8,20,105,8.91
SNT,8,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Pine,8,Offense,New York Excelsior,0,0,0,0,0,0,0,0.0
babybay,8,Offense,San Francisco Shock,83,70,55,18,25,0,137,12.31
iRemiix,8,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Kariv,8,Support,Los Angeles Valiant,78,56,58,22,15,0,172,14.59
Libero,8,Offense,New York Excelsior,99,61,50,16,11,0,197,16.43
sayaplayer,8,Offense,Florida Mayhem,0,0,0,0,0,0,0,0.0
Effect,8,Offense,Dallas Fuel,69,50,54,17,8,0,160,17.37
Mano,8,Tank,New York Excelsior,45,42,29,12,8,0,175,19.46
Nus,8,Support,London Spitfire,15,39,37,0,5,19,136,14.88
Fissure,8,Tank,Los Angeles Gladiators,66,59,48,10,5,0,252,21.23
Kellex,8,Support,Boston Uprising,10,53,39,2,8,16,110,10.55
super,8,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
Avast,8,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
DreamKazper,8,Offense,Boston Uprising,68,52,35,15,10,0,129,17.72
Carpe,8,Offense,Philadelphia Fusion,78,49,67,19,11,0,190,16.68
Shaz,8,Support,Los Angeles Gladiators,39,55,57,6,11,0,235,19.8
Fleta,8,Offense,Seoul Dynasty,50,23,21,9,3,0,110,22.92
Hydration,8,Offense,Los Angeles Gladiators,70,37,28,16,12,0,139,22.19
Sleepy,8,Support,San Francisco Shock,45,72,42,10,17,0,195,17.52
Muma,8,Tank,Houston Outlaws,58,54,42,4,10,0,194,16.56
Poko,8,Tank,Philadelphia Fusion,57,62,1,7,6,0,77,6.76
Danteh,8,Offense,San Francisco Shock,94,47,72,16,11,0,223,20.03
Bani,8,Support,Houston Outlaws,8,22,21,2,4,10,80,18.33
Bischu,8,Tank,Los Angeles Gladiators,65,53,1,11,7,0,117,9.86
Space,8,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
silkthread,8,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Eqo,8,Offense,Philadelphia Fusion,79,59,43,13,17,0,134,11.76
NotE,8,Tank,Boston Uprising,71,53,1,10,4,0,128,12.28
Snow,8,Support,Boston Uprising,0,0,0,0,0,0,0,0.0
Closer,8,Support,London Spitfire,0,13,9,0,2,1,12,5.54
FaTe,8,Tank,Los Angeles Valiant,57,62,45,13,8,0,231,19.6
Asher,8,Offense,Los Angeles Gladiators,94,47,60,27,10,0,235,22.51
envy,8,Tank,Los Angeles Valiant,74,44,0,7,3,0,129,10.95
Xepher,8,Tank,Seoul Dynasty,29,14,0,3,0,0,56,12.8
Sky,8,Support,Shanghai Dragons,0,0,0,0,0,0,0,0.0
uNdeAD,8,Offense,Shanghai Dragons,47,64,30,6,11,0,50,5.73
mg,8,Tank,Shanghai Dragons,34,61,26,3,7,0,90,10.32
Roshan,8,Tank,Shanghai Dragons,25,74,27,7,23,0,62,7.11
Freefeel,8,Support,Shanghai Dragons,1,9,9,0,2,0,17,10.09
FiveKing,8,Support,Shanghai Dragons,7,42,23,0,7,7,45,6.4
Fury,8,Tank,London Spitfire,55,32,0,8,3,0,107,11.71
Boombox,8,Support,Philadelphia Fusion,11,28,22,1,6,0,63,13.13
Gido,8,Offense,Seoul Dynasty,18,25,22,2,8,0,21,4.8
BigG00se,8,Support,Los Angeles Gladiators,19,57,49,0,6,13,155,13.06
Mistakes,8,Offense,Boston Uprising,24,12,20,2,2,0,56,17.82
snillo,8,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,8,Support,New York Excelsior,10,38,45,3,3,6,142,11.84
Wekeed,8,Offense,Seoul Dynasty,48,23,21,7,4,0,100,22.87
HOTBA,8,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Gesture,8,Tank,London Spitfire,85,73,39,11,11,0,247,21.85
Profit,8,Offense,London Spitfire,85,52,48,20,10,0,186,16.46
Hooreg,8,Offense,London Spitfire,13,14,8,3,3,0,20,9.24
HagoPeun,8,Support,London Spitfire,7,17,9,1,7,0,21,9.7
Neko,8,Support,Boston Uprising,31,57,43,10,17,0,171,16.41
Kalios,8,Tank,Boston Uprising,58,61,37,11,12,0,198,19.0
Bdosin,8,Support,London Spitfire,45,52,44,13,13,0,241,26.37
Geguri,8,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Ado,8,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
JJoNak,8,Support,New York Excelsior,64,49,46,18,12,0,329,27.44
Altering,8,Support,Shanghai Dragons,12,50,41,1,15,2,86,9.86
Fearless,8,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
SADO,8,Tank,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
