Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,15,Tank,Dallas Fuel,56,53,25,11,5,0,173,22.23
TviQ,15,Offense,Florida Mayhem,55,59,39,9,16,0,76,8.55
aKm,15,Offense,Dallas Fuel,65,77,41,11,20,0,76,7.75
uNKOE,15,Support,Dallas Fuel,30,63,40,4,8,0,147,14.98
Taimou,15,Offense,Dallas Fuel,11,19,9,2,9,0,29,14.3
chipshajen,15,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,15,Support,Dallas Fuel,4,63,37,0,6,28,90,9.17
cocco,15,Tank,Dallas Fuel,11,34,13,2,7,0,28,6.37
Dayfly,15,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,15,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,15,Offense,Los Angeles Valiant,91,57,66,14,11,0,197,16.95
zunba,15,Tank,Seoul Dynasty,79,43,0,10,4,0,151,13.18
Gamsu,15,Tank,Boston Uprising,54,68,46,7,13,0,193,15.41
Rascal,15,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,15,Offense,London Spitfire,24,17,13,5,3,0,48,16.89
ryujehong,15,Support,Seoul Dynasty,47,66,41,9,16,0,202,17.63
tobi,15,Support,Seoul Dynasty,0,6,3,0,1,0,1,1.01
Miro,15,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
MekO,15,Tank,New York Excelsior,65,28,1,10,2,0,143,15.6
Saebyeolbe,15,Offense,New York Excelsior,91,30,57,18,7,0,231,25.2
janus,15,Tank,New York Excelsior,18,16,13,1,5,0,58,14.45
Gambler,15,Support,Seoul Dynasty,1,43,36,0,4,51,137,13.09
KuKi,15,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,15,Offense,Seoul Dynasty,104,57,66,20,14,0,229,19.99
Surefour,15,Offense,Los Angeles Gladiators,81,62,53,17,23,0,141,12.28
Custa,15,Support,Los Angeles Valiant,4,55,61,0,5,50,206,14.89
iddqd,15,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,15,Tank,Houston Outlaws,63,67,2,11,4,0,105,8.91
clockwork,15,Offense,Houston Outlaws,2,6,4,0,3,0,-4,-5.18
GrimReality,15,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,15,Offense,Los Angeles Valiant,66,51,36,15,12,0,123,14.37
ShaDowBurn,15,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
Rawkus,15,Support,Houston Outlaws,30,76,45,7,13,0,151,12.82
FCTFCTN,15,Tank,Houston Outlaws,7,7,6,3,2,0,35,20.69
Manneten,15,Tank,Florida Mayhem,46,57,3,6,6,0,62,5.94
SoOn,15,Offense,Los Angeles Valiant,47,46,39,15,13,0,91,12.16
Zebbosai,15,Support,Florida Mayhem,4,58,37,0,7,32,99,9.49
Nevix,15,Tank,San Francisco Shock,77,42,2,13,3,0,167,15.16
Fragi,15,Tank,Philadelphia Fusion,39,83,39,4,20,0,108,8.72
Zuppeh,15,Support,Florida Mayhem,30,58,38,5,12,3,147,14.09
zappis,15,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
LiNkzr,15,Offense,Houston Outlaws,97,86,54,24,25,0,160,13.58
numlocked,15,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Diya,15,Offense,Shanghai Dragons,64,71,42,20,17,0,105,11.0
Joemeister,15,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
neptuNo,15,Support,Philadelphia Fusion,19,56,51,2,3,51,233,18.8
Mickie,15,Tank,Dallas Fuel,52,60,12,10,10,0,110,11.21
Mendokusaii,15,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
nomy,15,Tank,San Francisco Shock,0,0,0,0,0,0,0,0.0
dhaK,15,Support,San Francisco Shock,0,0,0,0,0,0,0,0.0
sinatraa,15,Offense,San Francisco Shock,50,30,31,6,9,0,95,17.33
xQc,15,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Striker,15,Offense,Boston Uprising,131,50,74,21,16,0,296,23.63
Woohyal,15,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
Boink,15,Support,Houston Outlaws,2,5,2,0,1,3,10,12.96
JAKE,15,Offense,Houston Outlaws,80,81,57,15,21,0,124,11.27
CWoosH,15,Tank,Florida Mayhem,0,0,0,0,0,0,0,0.0
Finnsi,15,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Logix,15,Offense,Florida Mayhem,16,8,14,1,1,0,38,24.65
