Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
Seagull,11,Tank,Dallas Fuel,57,59,8,4,0,0,95,8.66
TviQ,11,Offense,Florida Mayhem,19,38,23,3,9,0,11,1.74
aKm,11,Offense,Dallas Fuel,76,77,47,19,24,0,112,10.21
uNKOE,11,Support,Dallas Fuel,34,66,43,5,14,1,159,14.5
Taimou,11,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
chipshajen,11,Support,Dallas Fuel,0,0,0,0,0,0,0,0.0
HarryHook,11,Support,Dallas Fuel,12,54,41,1,10,38,147,13.4
cocco,11,Tank,Dallas Fuel,0,0,0,0,0,0,0,0.0
Dayfly,11,Support,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArHaN,11,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
Bunny,11,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
zunba,11,Tank,Seoul Dynasty,44,27,6,7,4,0,103,18.79
Gamsu,11,Tank,Boston Uprising,63,63,40,9,15,0,204,17.73
Rascal,11,Offense,Dallas Fuel,0,0,0,0,0,0,0,0.0
Birdring,11,Offense,London Spitfire,52,54,34,10,15,0,74,9.15
ryujehong,11,Support,Seoul Dynasty,29,30,31,3,5,0,152,23.97
tobi,11,Support,Seoul Dynasty,6,24,24,1,1,20,98,15.82
Miro,11,Tank,Seoul Dynasty,39,59,35,5,16,0,128,12.65
MekO,11,Tank,New York Excelsior,58,30,2,8,2,0,122,12.3
Saebyeolbe,11,Offense,New York Excelsior,79,30,48,15,10,0,186,18.75
janus,11,Tank,New York Excelsior,26,19,17,4,4,0,96,19.21
Gambler,11,Support,Seoul Dynasty,2,20,19,0,4,16,59,13.99
KuKi,11,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
munchkin,11,Offense,Seoul Dynasty,46,41,37,15,11,0,96,13.32
Surefour,11,Offense,Los Angeles Gladiators,67,49,44,13,11,0,133,16.69
Custa,11,Support,Los Angeles Valiant,6,27,28,1,4,39,130,15.23
iddqd,11,Offense,San Francisco Shock,0,0,0,0,0,0,0,0.0
coolmatt,11,Tank,Houston Outlaws,59,55,0,7,8,0,83,8.17
clockwork,11,Offense,Houston Outlaws,0,0,0,0,0,0,0,0.0
GrimReality,11,Offense,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
Agilities,11,Offense,Los Angeles Valiant,86,30,42,17,12,0,194,22.73
ShaDowBurn,11,Offense,Philadelphia Fusion,6,6,4,3,3,0,10,10.71
Rawkus,11,Support,Houston Outlaws,26,69,43,3,17,0,116,11.42
FCTFCTN,11,Tank,Houston Outlaws,0,0,0,0,0,0,0,0.0
Manneten,11,Tank,Florida Mayhem,58,52,0,10,7,0,97,9.96
SoOn,11,Offense,Los Angeles Valiant,96,45,49,25,7,0,232,27.18
Zebbosai,11,Support,Florida Mayhem,6,69,36,1,12,19,66,6.78
