Player,Week,Role,Team,K,D,U,FK,FD,Ress,Points,Pts/10
TiZi,16,Tank,London Spitfire,0,0,0,0,0,0,0,0.0
FaTe,16,Tank,Los Angeles Valiant,36,39,25,4,8,0,116,13.95
Architect,16,Offense,San Francisco Shock,95,57,43,25,15,0,196,20.03
Asher,16,Offense,Los Angeles Gladiators,4,7,5,1,3,0,2,2.17
envy,16,Tank,Los Angeles Valiant,0,0,0,0,0,0,0,0.0
KSF,16,Offense,Los Angeles Valiant,6,7,3,1,2,0,6,6.15
Xepher,16,Tank,Seoul Dynasty,0,0,0,0,0,0,0,0.0
Sky,16,Support,Shanghai Dragons,2,5,4,1,1,0,15,10.68
uNdeAD,16,Offense,Shanghai Dragons,0,0,0,0,0,0,0,0.0
mg,16,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Roshan,16,Tank,Shanghai Dragons,0,0,0,0,0,0,0,0.0
Freefeel,16,Support,Shanghai Dragons,20,34,29,4,8,1,115,14.71
FiveKing,16,Support,Shanghai Dragons,0,16,19,0,2,16,61,14.88
Fury,16,Tank,London Spitfire,16,14,4,1,0,0,34,11.73
Void,16,Tank,Los Angeles Gladiators,0,0,0,0,0,0,0,0.0
Daemin,16,Offense,Shanghai Dragons,40,48,32,7,12,0,54,7.98
Boombox,16,Support,Philadelphia Fusion,39,39,33,7,8,0,189,20.72
Gido,16,Offense,Seoul Dynasty,22,47,39,5,9,0,28,2.69
ANAMO,16,Support,New York Excelsior,0,11,10,0,0,6,28,11.86
BigG00se,16,Support,Los Angeles Gladiators,6,36,42,0,3,38,160,15.63
Mistakes,16,Offense,Boston Uprising,56,63,35,18,19,0,82,9.57
snillo,16,Offense,Philadelphia Fusion,0,0,0,0,0,0,0,0.0
ArK,16,Support,New York Excelsior,1,19,29,0,3,21,97,13.96
Wekeed,16,Offense,Seoul Dynasty,24,27,19,6,7,0,38,9.53
HOTBA,16,Tank,Philadelphia Fusion,45,14,9,7,2,0,129,16.8
Gesture,16,Tank,London Spitfire,36,59,37,6,8,0,140,15.62
Profit,16,Offense,London Spitfire,61,58,59,15,14,0,125,13.94
Hooreg,16,Offense,London Spitfire,0,0,0,0,0,0,0,0.0
HagoPeun,16,Support,London Spitfire,10,14,18,1,5,0,64,22.08
Neko,16,Support,Boston Uprising,9,21,14,3,4,0,52,11.99
OGe,16,Tank,Dallas Fuel,49,56,43,8,13,0,190,17.6
Aimgod,16,Support,Boston Uprising,16,23,17,2,4,0,22,5.2
Kalios,16,Tank,Boston Uprising,28,27,16,6,5,0,96,23.04
Bdosin,16,Support,London Spitfire,20,38,29,4,10,0,105,17.31
Geguri,16,Tank,Shanghai Dragons,35,42,10,7,10,0,76,8.24
Ado,16,Offense,Shanghai Dragons,18,20,18,7,4,0,40,10.36
JJoNak,16,Support,New York Excelsior,55,40,37,10,13,0,250,26.85
Altering,16,Support,Shanghai Dragons,2,8,26,0,2,22,105,20.49
Fearless,16,Tank,Shanghai Dragons,40,61,36,8,12,0,147,15.94
SADO,16,Tank,Philadelphia Fusion,34,33,26,8,5,0,140,18.23
